#Duplication rate	Coverage
1.0	1.2494546E7
2.0	2106298.0
3.0	479034.0
4.0	156180.0
5.0	64971.0
6.0	32623.0
7.0	18668.0
8.0	11584.0
9.0	7819.0
10.0	5307.0
11.0	4014.0
12.0	2989.0
13.0	2238.0
14.0	1889.0
15.0	1549.0
16.0	1288.0
17.0	1111.0
18.0	993.0
19.0	852.0
20.0	678.0
21.0	624.0
22.0	590.0
23.0	531.0
24.0	483.0
25.0	447.0
26.0	408.0
27.0	382.0
28.0	359.0
29.0	327.0
30.0	292.0
31.0	290.0
32.0	235.0
33.0	273.0
34.0	265.0
35.0	232.0
36.0	204.0
37.0	216.0
38.0	182.0
39.0	217.0
40.0	191.0
41.0	190.0
42.0	160.0
43.0	158.0
44.0	134.0
45.0	193.0
46.0	141.0
47.0	145.0
48.0	152.0
49.0	131.0
50.0	6766.0
