#Mapping quality	mapping quality
0.0	360471.0
1.0	1.8261038E7
2.0	101824.0
3.0	99001.0
4.0	50991.0
5.0	34173.0
6.0	408559.0
7.0	204632.0
8.0	133447.0
9.0	54707.0
10.0	60609.0
11.0	156179.0
12.0	371391.0
13.0	35491.0
14.0	88377.0
15.0	229844.0
16.0	162251.0
17.0	285744.0
18.0	280714.0
19.0	65162.0
20.0	93648.0
21.0	407549.0
22.0	138007.0
23.0	488663.0
24.0	799786.0
25.0	212084.0
26.0	189588.0
27.0	183670.0
28.0	263443.0
29.0	215394.0
30.0	2091761.0
31.0	1777052.0
32.0	1990022.0
33.0	812366.0
34.0	1972152.0
35.0	1352041.0
36.0	1208753.0
37.0	1189365.0
38.0	1521539.0
39.0	1554659.0
40.0	3630423.0
41.0	9983435.0
42.0	1.83584782E8
