#Duplication rate	Coverage
1.0	7228518.0
2.0	1069115.0
3.0	212277.0
4.0	64721.0
5.0	26788.0
6.0	13364.0
7.0	7804.0
8.0	4843.0
9.0	3202.0
10.0	2200.0
11.0	1615.0
12.0	1255.0
13.0	925.0
14.0	719.0
15.0	611.0
16.0	435.0
17.0	381.0
18.0	330.0
19.0	285.0
20.0	263.0
21.0	249.0
22.0	172.0
23.0	172.0
24.0	153.0
25.0	118.0
26.0	115.0
27.0	95.0
28.0	90.0
29.0	94.0
30.0	83.0
31.0	73.0
32.0	67.0
33.0	65.0
34.0	50.0
35.0	53.0
36.0	49.0
37.0	48.0
38.0	40.0
39.0	42.0
40.0	42.0
41.0	37.0
42.0	30.0
43.0	36.0
44.0	26.0
45.0	34.0
46.0	36.0
47.0	31.0
48.0	28.0
49.0	29.0
50.0	5903.0
