#Duplication rate	Coverage
1.0	7082409.0
2.0	2017154.0
3.0	610709.0
4.0	205665.0
5.0	80709.0
6.0	36757.0
7.0	19778.0
8.0	11654.0
9.0	7569.0
10.0	5342.0
11.0	3784.0
12.0	2880.0
13.0	2386.0
14.0	1776.0
15.0	1498.0
16.0	1263.0
17.0	1050.0
18.0	895.0
19.0	770.0
20.0	679.0
21.0	583.0
22.0	496.0
23.0	489.0
24.0	431.0
25.0	389.0
26.0	357.0
27.0	299.0
28.0	312.0
29.0	288.0
30.0	236.0
31.0	254.0
32.0	217.0
33.0	172.0
34.0	207.0
35.0	187.0
36.0	180.0
37.0	154.0
38.0	134.0
39.0	162.0
40.0	140.0
41.0	162.0
42.0	134.0
43.0	121.0
44.0	125.0
45.0	104.0
46.0	122.0
47.0	80.0
48.0	99.0
49.0	95.0
50.0	3941.0
