#Duplication rate	Coverage
1.0	3921741.0
2.0	1026895.0
3.0	271134.0
4.0	73593.0
5.0	22631.0
6.0	9053.0
7.0	4796.0
8.0	3231.0
9.0	2318.0
10.0	1956.0
11.0	1605.0
12.0	1274.0
13.0	1112.0
14.0	1052.0
15.0	850.0
16.0	738.0
17.0	688.0
18.0	642.0
19.0	539.0
20.0	520.0
21.0	465.0
22.0	442.0
23.0	419.0
24.0	377.0
25.0	362.0
26.0	330.0
27.0	324.0
28.0	265.0
29.0	299.0
30.0	231.0
31.0	234.0
32.0	212.0
33.0	224.0
34.0	206.0
35.0	192.0
36.0	167.0
37.0	163.0
38.0	162.0
39.0	146.0
40.0	146.0
41.0	137.0
42.0	154.0
43.0	141.0
44.0	109.0
45.0	115.0
46.0	125.0
47.0	123.0
48.0	110.0
49.0	112.0
50.0	9728.0
