#Mapping quality	mapping quality
0.0	392222.0
1.0	1.0670393E7
2.0	81168.0
3.0	85066.0
4.0	32577.0
5.0	18671.0
6.0	271087.0
7.0	137710.0
8.0	111392.0
9.0	36477.0
10.0	26571.0
11.0	110344.0
12.0	263388.0
13.0	22876.0
14.0	59825.0
15.0	120881.0
16.0	78876.0
17.0	198453.0
18.0	212168.0
19.0	42502.0
20.0	48183.0
21.0	260882.0
22.0	95692.0
23.0	532795.0
24.0	712514.0
25.0	133921.0
26.0	104207.0
27.0	99595.0
28.0	119118.0
29.0	117242.0
30.0	1470839.0
31.0	1296249.0
32.0	1475120.0
33.0	523554.0
34.0	1448966.0
35.0	872820.0
36.0	601013.0
37.0	534439.0
38.0	575391.0
39.0	417420.0
40.0	2242414.0
41.0	2650078.0
42.0	1.18179985E8
