#Mapping quality	mapping quality
0.0	383535.0
1.0	1.0724182E7
2.0	88670.0
3.0	105793.0
4.0	50415.0
5.0	30688.0
6.0	281591.0
7.0	161618.0
8.0	155684.0
9.0	55690.0
10.0	57174.0
11.0	144487.0
12.0	312059.0
13.0	35723.0
14.0	95246.0
15.0	205912.0
16.0	149508.0
17.0	265167.0
18.0	261063.0
19.0	61659.0
20.0	89031.0
21.0	470598.0
22.0	150982.0
23.0	610185.0
24.0	945443.0
25.0	219332.0
26.0	178040.0
27.0	176338.0
28.0	268857.0
29.0	227267.0
30.0	1441538.0
31.0	1301018.0
32.0	1613336.0
33.0	985172.0
34.0	1392193.0
35.0	1145926.0
36.0	1245176.0
37.0	1197086.0
38.0	1493413.0
39.0	1291908.0
40.0	3789621.0
41.0	7963860.0
42.0	1.97632866E8
