#Duplication rate	Coverage
1.0	6723764.0
2.0	1273032.0
3.0	292488.0
4.0	89018.0
5.0	35482.0
6.0	17107.0
7.0	9738.0
8.0	5817.0
9.0	3986.0
10.0	2778.0
11.0	1998.0
12.0	1525.0
13.0	1246.0
14.0	1020.0
15.0	821.0
16.0	709.0
17.0	540.0
18.0	493.0
19.0	412.0
20.0	377.0
21.0	321.0
22.0	292.0
23.0	243.0
24.0	240.0
25.0	205.0
26.0	212.0
27.0	192.0
28.0	200.0
29.0	156.0
30.0	158.0
31.0	167.0
32.0	133.0
33.0	105.0
34.0	112.0
35.0	111.0
36.0	102.0
37.0	112.0
38.0	88.0
39.0	92.0
40.0	83.0
41.0	70.0
42.0	64.0
43.0	84.0
44.0	61.0
45.0	62.0
46.0	65.0
47.0	56.0
48.0	74.0
49.0	76.0
50.0	2396.0
