#Mapping quality	mapping quality
0.0	178501.0
1.0	6457137.0
2.0	41014.0
3.0	46995.0
4.0	23041.0
5.0	14388.0
6.0	169842.0
7.0	89626.0
8.0	74427.0
9.0	22730.0
10.0	25310.0
11.0	72984.0
12.0	176378.0
13.0	16605.0
14.0	38876.0
15.0	96001.0
16.0	68076.0
17.0	140620.0
18.0	137055.0
19.0	26852.0
20.0	39563.0
21.0	202635.0
22.0	63141.0
23.0	286594.0
24.0	461385.0
25.0	95288.0
26.0	79945.0
27.0	77134.0
28.0	105760.0
29.0	90534.0
30.0	827298.0
31.0	718970.0
32.0	844017.0
33.0	382118.0
34.0	785519.0
35.0	549497.0
36.0	517065.0
37.0	478684.0
38.0	585372.0
39.0	472995.0
40.0	1715602.0
41.0	3067416.0
42.0	9.295269E7
