#Coverage	Number of genomic locations
0.0	2.612221989E9
1.0	6.9131237E7
2.0	2.0690479E7
3.0	9457033.0
4.0	4912681.0
5.0	2816572.0
6.0	1748952.0
7.0	1156321.0
8.0	795537.0
9.0	573406.0
10.0	424612.0
11.0	317064.0
12.0	240907.0
13.0	186700.0
14.0	147211.0
15.0	115611.0
16.0	92488.0
17.0	74423.0
18.0	60691.0
19.0	49990.0
20.0	41977.0
21.0	35353.0
22.0	29495.0
23.0	25180.0
24.0	22006.0
25.0	19021.0
26.0	16355.0
27.0	14178.0
28.0	12148.0
29.0	10800.0
30.0	9161.0
31.0	8021.0
32.0	6954.0
33.0	6090.0
34.0	5205.0
35.0	4866.0
36.0	4257.0
37.0	3862.0
38.0	3625.0
39.0	3432.0
40.0	3337.0
41.0	3019.0
42.0	2804.0
43.0	2588.0
44.0	2451.0
45.0	2218.0
46.0	2166.0
47.0	2224.0
48.0	2140.0
49.0	2049.0
50.0	1750.0
51.0	1568.0
52.0	1348.0
53.0	1242.0
54.0	1062.0
55.0	961.0
56.0	769.0
57.0	624.0
58.0	542.0
59.0	559.0
60.0	431.0
61.0	378.0
62.0	290.0
63.0	283.0
64.0	247.0
65.0	193.0
66.0	144.0
67.0	126.0
68.0	129.0
69.0	109.0
70.0	105.0
71.0	122.0
72.0	111.0
73.0	99.0
74.0	136.0
75.0	137.0
76.0	220.0
77.0	380.0
78.0	560.0
79.0	853.0
80.0	831.0
81.0	340.0
82.0	99.0
83.0	33.0
84.0	2.0
