#Duplication rate	Coverage
1.0	1.0742129E7
2.0	1655820.0
3.0	331618.0
4.0	94971.0
5.0	36390.0
6.0	17007.0
7.0	9184.0
8.0	5582.0
9.0	3696.0
10.0	2627.0
11.0	1922.0
12.0	1484.0
13.0	1198.0
14.0	965.0
15.0	828.0
16.0	744.0
17.0	703.0
18.0	605.0
19.0	541.0
20.0	526.0
21.0	476.0
22.0	418.0
23.0	420.0
24.0	391.0
25.0	354.0
26.0	339.0
27.0	331.0
28.0	291.0
29.0	282.0
30.0	269.0
31.0	248.0
32.0	238.0
33.0	219.0
34.0	233.0
35.0	203.0
36.0	216.0
37.0	188.0
38.0	192.0
39.0	192.0
40.0	168.0
41.0	155.0
42.0	156.0
43.0	133.0
44.0	151.0
45.0	146.0
46.0	126.0
47.0	143.0
48.0	119.0
49.0	143.0
50.0	6283.0
