omosome organization","14/663","346/23239",0.12149621468303,0.650646332202964,0.629138240835522,"Cdc23/Zbtb7b/Nelfa/Ing2/Lrrk1/Vegfa/Ruvbl2/Acd/Snw1/Tinf2/Lif/Kat2b/Arid5a/Trim28",14
"GO:0090090","negative regulation of canonical Wnt signaling pathway","6/663","118/23239",0.121772911064007,0.650646332202964,0.629138240835522,"Tmem88/Mcc/Notch1/Ruvbl2/Invs/Ddit3",6
"GO:1990266","neutrophil migration","6/663","118/23239",0.121772911064007,0.650646332202964,0.629138240835522,"Ccl3/Rac1/Prkca/Mpp1/Wdr1/Lgals3",6
"GO:0031348","negative regulation of defense response","9/663","201/23239",0.122570779088031,0.654075151082497,0.63245371495909,"Cxcl17/Ada/Psma1/Gper1/Gpatch3/Clec2d/Pbk/Il1r2/Ndfip1",9
"GO:0001570","vasculogenesis","5/663","92/23239",0.122822160323538,0.654263136907862,0.632635486630763,"Notch1/Hdac7/Fgfr2/Junb/Pbrm1",5
"GO:0006576","cellular biogenic amine metabolic process","3/663","43/23239",0.123699308768447,0.654263136907862,0.632635486630763,"Oaz3/Kmo/Oaz2",3
"GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","3/663","43/23239",0.123699308768447,0.654263136907862,0.632635486630763,"Cdip1/Bcl2l12/Snw1",3
"GO:0044786","cell cycle DNA replication","3/663","43/23239",0.123699308768447,0.654263136907862,0.632635486630763,"Acd/Msh6/Rad51",3
"GO:0048873","homeostasis of number of cells within a tissue","3/663","43/23239",0.123699308768447,0.654263136907862,0.632635486630763,"Rac1/Notch1/Vegfa",3
"GO:0070232","regulation of T cell apoptotic process","3/663","43/23239",0.123699308768447,0.654263136907862,0.632635486630763,"Ada/Rorc/Lgals3",3
"GO:0070527","platelet aggregation","3/663","43/23239",0.123699308768447,0.654263136907862,0.632635486630763,"Prkca/Comp/Gnas",3
"GO:0002090","regulation of receptor internalization","4/663","67/23239",0.12424973875996,0.654694535428268,0.633052624625391,"Lrrtm2/Vegfa/Mtmr2/Atxn2",4
"GO:0034109","homotypic cell-cell adhesion","4/663","67/23239",0.12424973875996,0.654694535428268,0.633052624625391,"Tnfsf11/Prkca/Comp/Gnas",4
"GO:0046635","positive regulation of alpha-beta T cell activation","4/663","67/23239",0.12424973875996,0.654694535428268,0.633052624625391,"Ada/Zbtb7b/Cd244a/Cd80",4
"GO:0050727","regulation of inflammatory response","13/663","318/23239",0.124879218678002,0.655361093894198,0.633697149000483,"Ccl3/Cxcl17/Ada/Tnfsf11/Lta/Prkca/Psma1/Clock/Gper1/Il17ra/Pbk/Il1r2/Ndfip1",13
"GO:0022612","gland morphogenesis","7/663","146/23239",0.124933705361182,0.655361093894198,0.633697149000483,"Tnc/Vdr/Notch1/Ptch1/Fgfr2/Pdgfb/Stat6",7
"GO:0006892","post-Golgi vesicle-mediated transport","5/663","93/23239",0.126955363034737,0.655361093894198,0.633697149000483,"Plcb3/Rab26/Csk/Vps35l/Arf4",5
"GO:0050678","regulation of epithelial cell proliferation","14/663","349/23239",0.12756120985675,0.655361093894198,0.633697149000483,"Slurp1/Htr2b/Vdr/Mcc/Prkca/Notch1/Ptch1/Vegfa/Fgfr2/Tinf2/Pdgfb/Id1/Apoh/Cdk6",14
"GO:1901861","regulation of muscle tissue development","8/663","175/23239",0.128766682675361,0.655361093894198,0.633697149000483,"Hdac5/G6pdx/Notch1/Hdac7/Fgfr2/Creb1/Pi16/Rbpj",8
"GO:0007018","microtubule-based movement","11/663","261/23239",0.128833990227565,0.655361093894198,0.633697149000483,"Kpnb1/Bloc1s3/Stau1/Trim46/Ap3m1/Rsph9/Lrrc6/Ulk4/Invs/Klc1/Kif3c",11
"GO:0030336","negative regulation of cell migration","11/663","261/23239",0.128833990227565,0.655361093894198,0.633697149000483,"Angpt2/Slurp1/Ada/Mcc/Hdac5/Notch1/Scai/Pdgfb/Apoh/Cers2/Rbpj",11
"GO:0014902","myotube differentiation","6/663","120/23239",0.128984182952297,0.655361093894198,0.633697149000483,"Smyd1/Hdac5/Hdac6/Notch1/Scgb3a1/Homer1",6
"GO:0042157","lipoprotein metabolic process","6/663","120/23239",0.128984182952297,0.655361093894198,0.633697149000483,"Zdhhc11/Zdhhc20/Svip/Zdhhc6/Nmt2/Ppm1a",6
"GO:0003084","positive regulation of systemic arterial blood pressure","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"G6pdx/Manf",2
"GO:0003323","type B pancreatic cell development","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Clock/Cdk6",2
"GO:0006144","purine nucleobase metabolic process","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Ada/Gmpr",2
"GO:0007095","mitotic G2 DNA damage checkpoint","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Taok2/Msh6",2
"GO:0007130","synaptonemal complex assembly","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Mcmdc2/Rec8",2
"GO:0007141","male meiosis I","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Ing2/Rec8",2
"GO:0010874","regulation of cholesterol efflux","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Ptch1/Lamtor1",2
"GO:0042537","benzene-containing compound metabolic process","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Kmo/Txnrd1",2
"GO:0051875","pigment granule localization","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Bloc1s3/a",2
"GO:0060261","positive regulation of transcription initiation from RNA polymerase II promoter","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Creb1/Psmc2",2
"GO:0060602","branch elongation of an epithelium","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Tnc/Fgfr2",2
"GO:0060749","mammary gland alveolus development","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Tnfsf11/Vegfa",2
"GO:0061377","mammary gland lobule development","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Tnfsf11/Vegfa",2
"GO:0070242","thymocyte apoptotic process","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Ada/Rorc",2
"GO:0072215","regulation of metanephros development","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Pdgfb/Lif",2
"GO:0085029","extracellular matrix assembly","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Notch1/Has3",2
"GO:0097062","dendritic spine maintenance","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Mtmr2/Homer1",2
"GO:0099625","ventricular cardiac muscle cell membrane repolarization","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Wdr1/Akap9",2
"GO:1900078","positive regulation of cellular response to insulin stimulus","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Zbtb7b/Myo1c",2
"GO:1902884","positive regulation of response to oxidative stress","2/663","22/23239",0.129168292385747,0.655361093894198,0.633697149000483,"Hdac6/Endog",2
"GO:0046637","regulation of alpha-beta T cell differentiation","4/663","68/23239",0.129226131190405,0.655361093894198,0.633697149000483,"Ada/Zbtb7b/Loxl3/Zfp683",4
"GO:1903670","regulation of sprouting angiogenesis","4/663","68/23239",0.129226131190405,0.655361093894198,0.633697149000483,"Hdac5/Notch1/Hdac7/Vegfa",4
"GO:0019083","viral transcription","3/663","44/23239",0.130098523340705,0.655815540642856,0.634136573329574,"Trim14/Snw1/Rsf1",3
"GO:0060421","positive regulation of heart growth","3/663","44/23239",0.130098523340705,0.655815540642856,0.634136573329574,"Notch1/Fgfr2/Rbpj",3
"GO:0090184","positive regulation of kidney development","3/663","44/23239",0.130098523340705,0.655815540642856,0.634136573329574,"Vegfa/Pdgfb/Lif",3
"GO:1901031","regulation of response to reactive oxygen species","3/663","44/23239",0.130098523340705,0.655815540642856,0.634136573329574,"Hdac6/Pycr1/Endog",3
"GO:1903727","positive regulation of phospholipid metabolic process","3/663","44/23239",0.130098523340705,0.655815540642856,0.634136573329574,"Htr2b/Rac1/Pdgfb",3
"GO:0097193","intrinsic apoptotic signaling pathway","12/663","291/23239",0.130435927532838,0.656726082253676,0.635017015620396,"Cdip1/Prkca/Erp29/Gsdme/Bcl2l12/Snw1/Vdac2/Msh6/Plscr1/Tmem161a/Ddit3/Syvn1",12
"GO:0045445","myoblast differentiation","5/663","94/23239",0.131151547110495,0.657075705913921,0.635355081945639,"Trip4/Smyd1/Notch1/Ddit3/Rbpj",5
"GO:0045582","positive regulation of T cell differentiation","5/663","94/23239",0.131151547110495,0.657075705913921,0.635355081945639,"Hsp90aa1/Ada/Zbtb7b/Tnfsf9/Vsir",5
"GO:0048709","oligodendrocyte differentiation","5/663","94/23239",0.131151547110495,0.657075705913921,0.635355081945639,"Eif2b1/Notch1/Myrf/Omg/Wdr1",5
"GO:0060560","developmental growth involved in morphogenesis","11/663","262/23239",0.131250941365121,0.657075705913921,0.635355081945639,"Hsp90aa1/Tnc/Unc13a/Hdac6/Trim46/Notch1/Omg/Vegfa/Fgfr2/Raph1/Trim28",11
"GO:0050657","nucleic acid transport","7/663","148/23239",0.131453549150473,0.657075705913921,0.635355081945639,"Xpo7/Stau1/Seh1l/Myo1c/Srsf1/Sarnp/Thoc1",7
"GO:0050658","RNA transport","7/663","148/23239",0.131453549150473,0.657075705913921,0.635355081945639,"Xpo7/Stau1/Seh1l/Myo1c/Srsf1/Sarnp/Thoc1",7
