#Duplication rate	Coverage
1.0	9035083.0
2.0	1317436.0
3.0	232641.0
4.0	59482.0
5.0	20866.0
6.0	9847.0
7.0	5357.0
8.0	3489.0
9.0	2396.0
10.0	1774.0
11.0	1498.0
12.0	1094.0
13.0	903.0
14.0	802.0
15.0	595.0
16.0	501.0
17.0	452.0
18.0	391.0
19.0	334.0
20.0	337.0
21.0	265.0
22.0	256.0
23.0	242.0
24.0	215.0
25.0	215.0
26.0	163.0
27.0	171.0
28.0	140.0
29.0	123.0
30.0	119.0
31.0	127.0
32.0	108.0
33.0	97.0
34.0	106.0
35.0	89.0
36.0	82.0
37.0	75.0
38.0	67.0
39.0	66.0
40.0	78.0
41.0	64.0
42.0	69.0
43.0	67.0
44.0	48.0
45.0	51.0
46.0	45.0
47.0	40.0
48.0	42.0
49.0	38.0
50.0	1723.0
