#Duplication rate	Coverage
1.0	2.1384542E7
2.0	3258134.0
3.0	621620.0
4.0	168200.0
5.0	59293.0
6.0	26166.0
7.0	13743.0
8.0	7944.0
9.0	5146.0
10.0	3584.0
11.0	2468.0
12.0	2024.0
13.0	1541.0
14.0	1310.0
15.0	1105.0
16.0	906.0
17.0	791.0
18.0	647.0
19.0	547.0
20.0	531.0
21.0	466.0
22.0	388.0
23.0	339.0
24.0	326.0
25.0	276.0
26.0	266.0
27.0	254.0
28.0	219.0
29.0	219.0
30.0	176.0
31.0	191.0
32.0	184.0
33.0	148.0
34.0	133.0
35.0	151.0
36.0	127.0
37.0	114.0
38.0	124.0
39.0	90.0
40.0	99.0
41.0	106.0
42.0	80.0
43.0	87.0
44.0	85.0
45.0	73.0
46.0	77.0
47.0	61.0
48.0	46.0
49.0	45.0
50.0	7738.0
