Geneid,Chr,Start,End,Strand,Length,count
Xkr4,1,3214482,3671498,-,457017,17
Rp1,1,3999557,4409241,-,409685,17
Sox17,1,4490931,4497354,-,6424,0
Mrpl15,1,4773206,4785739,-,12534,190
Rgs20,1,4909576,5070285,-,160710,12
Npbwr1,1,5913707,5917398,-,3692,0
Sntg1,1,8361475,9299878,-,938404,45
Mybl1,1,9667415,9700209,-,32795,198
Vcpip1,1,9718622,9748382,-,29761,616
Tcf24,1,9960163,9967932,-,7770,0
Ppp1r42,1,9968624,10009136,-,40513,4
Cops5,1,10024601,10038149,-,13549,211
Arfgef1,1,10137571,10232670,-,95100,2728
Cpa6,1,10324720,10719945,-,395226,13
Slco5a1,1,12866549,12992650,-,126102,17
Prdm14,1,13113457,13127163,-,13707,2
Ncoa2,1,13139105,13374083,-,234979,7589
Tram1,1,13564698,13589910,-,25213,587
Lactb2,1,13623330,13660546,-,37217,511
Eya1,1,14168954,14310235,-,141282,0
Msc,1,14753346,14755990,-,2645,0
Trpa1,1,14872648,14918862,-,46215,53
Sbspon,1,15853862,15892722,-,38861,9
4930444P10Rik,1,16065979,16093325,-,27347,10
Rpl7,1,16101295,16104662,-,3368,259
Stau2,1,16228674,16520112,-,291439,108
Ube2w,1,16540790,16619489,-,78700,1034
Eloc,1,16641725,16657042,-,15318,295
Jph1,1,16964560,17097889,-,133330,3
Crisp4,1,18115191,18145902,-,30712,1
Defb18,1,18236473,18237443,-,971,0
Defb41,1,18250980,18265138,-,14159,13
Pkhd1,1,20057779,20618064,-,560286,31
Il17f,1,20777146,20790617,-,13472,12
Mcm3,1,20802968,20820312,-,17345,786
Tram2,1,20996299,21079229,-,82931,376
Kcnq5,1,21398403,21961942,-,563540,12785
Rims1,1,22286251,22805994,-,519744,12
Ppp1r14bl,1,23100473,23102253,-,1781,0
Ogfrl1,1,23366424,23397541,-,31118,32
Smap1,1,23845625,23922317,-,76693,716
Sdhaf4,1,23995939,24005656,-,9718,25
Fam135a,1,24011093,24100333,-,89241,12
Col19a1,1,24263994,24587472,-,323479,12
Adgrb3,1,25067476,25829707,-,762232,21
4931408C20Rik,1,26681814,26687460,-,5647,0
Gm597,1,28776117,28780252,-,4136,0
Phf3,1,30802339,30873894,-,71556,1544
Ptp4a1,1,30940302,30949770,-,9469,101
Gm5698,1,30977243,30977968,-,726,0
4931428L18Rik,1,30997842,31222617,-,224776,6
Gm5415,1,32543686,32547294,-,3609,0
Prim2,1,33453810,33669795,-,215986,4312
Bag2,1,33745484,33757795,-,12312,95
Zfp451,1,33761545,33814570,-,53026,952
Bend6,1,33852052,33907816,-,55765,5
Ccdc115,1,34436670,34439672,-,3003,32
Prss40,1,34543968,34560943,-,16976,0
Fam168b,1,34813219,34843065,-,29847,984
Uggt1,1,36140027,36244305,-,104279,1797
Neurl3,1,36264597,36274679,-,10083,136
Kansl3,1,36335730,36369181,-,33452,924
Lman2l,1,36419871,36445271,-,25401,359
Ankrd23,1,36530188,36536521,-,6334,87
Gm42417,1,36530193,36539429,-,9237,159
Ankrd39,1,36537507,36547445,-,9939,124
Sema4c,1,36548639,36558349,-,9711,203
Fam178b,1,36562692,36683183,-,120492,11
Actr1b,1,36698114,36714422,-,16309,351
Tmem131,1,36792191,36943666,-,151476,2772
Coa5,1,37417084,37430103,-,13020,129
Mgat4a,1,37439340,37541016,-,101677,1213
2010300C02Rik,1,37611677,37720085,-,108409,30
Tsga10,1,37754776,37866429,-,111654,42
Mitd1,1,37874801,37890411,-,15611,207
Lyg2,1,37905923,37916493,-,10571,0
Lyg1,1,37946736,37957759,-,11024,1
Txndc9,1,37985189,37997893,-,12705,215
Rev1,1,38052786,38129801,-,77016,1283
Aff3,1,38177326,38664955,-,487630,35422
Lonrf2,1,38793645,38836711,-,43067,1
Chst10,1,38863867,38898161,-,34295,96
Tbc1d8,1,39371492,39478755,-,107264,38
Rnf149,1,39551296,39577405,-,26110,428
Creg2,1,39618406,39651474,-,33069,0
Rfx8,1,39665301,39720997,-,55697,10
Gm3646,1,39804148,39805332,-,1185,0
Mfsd9,1,40772038,40790687,-,18650,27
Tgfbrap1,1,43047200,43098622,-,51423,348
Fhl2,1,43123074,43196984,-,73911,271
Uxs1,1,43746966,43827800,-,80835,1203
Mettl21c,1,44009408,44020006,-,10599,1
Gm8251,1,44055872,44079746,-,23875,102
Tex30,1,44086613,44102441,-,15829,169
Poglut2,1,44106546,44118808,-,12263,77
Mettl21e,1,44204070,44218961,-,14892,0
Col5a2,1,45374321,45503282,-,128962,1
Gm5269,1,45889941,45890078,-,138,0
Slc40a1,1,45908068,45926519,-,18452,0
Slc39a10,1,46807544,46892852,-,85309,286
Nabp1,1,51465862,51478425,-,12564,1338
Myo1b,1,51749765,51916071,-,166307,6
Gls,1,52163448,52233232,-,69785,2154
Nab1,1,52457294,52500679,-,43386,659
Mfsd6,1,52656286,52727462,-,71177,337
Inpp1,1,52785427,52817688,-,32262,420
1700019D03Rik,1,52922324,53020179,-,97856,23
1700019A02Rik,1,53158577,53187636,-,29060,89
Pms1,1,53189187,53297018,-,107832,1214
Gm28551,1,53325507,53352667,-,27161,114
Asnsd1,1,53344617,53352752,-,8136,89
Gm50478,1,53348479,53352619,-,4141,29
Dnah7a,1,53397006,53706761,-,309756,74
Stk17b,1,53755506,53785224,-,29719,1600
