Geneid,Chr,Start,End,Strand,Length,count
Xkr4,1,3214482,3671498,-,457017,180
Rp1,1,3999557,4409241,-,409685,145
Sox17,1,4490931,4497354,-,6424,2
Mrpl15,1,4773206,4785739,-,12534,269
Rgs20,1,4909576,5070285,-,160710,66
Npbwr1,1,5913707,5917398,-,3692,2
Sntg1,1,8361475,9299878,-,938404,421
Mybl1,1,9667415,9700209,-,32795,37
Vcpip1,1,9718622,9748382,-,29761,1326
Tcf24,1,9960163,9967932,-,7770,3
Ppp1r42,1,9968624,10009136,-,40513,22
Cops5,1,10024601,10038149,-,13549,497
Arfgef1,1,10137571,10232670,-,95100,5834
Cpa6,1,10324720,10719945,-,395226,175
Slco5a1,1,12866549,12992650,-,126102,58
Prdm14,1,13113457,13127163,-,13707,22
Ncoa2,1,13139105,13374083,-,234979,18196
Tram1,1,13564698,13589910,-,25213,697
Lactb2,1,13623330,13660546,-,37217,357
Eya1,1,14168954,14310235,-,141282,59
Msc,1,14753346,14755990,-,2645,1
Trpa1,1,14872648,14918862,-,46215,21
Sbspon,1,15853862,15892722,-,38861,28
4930444P10Rik,1,16065979,16093325,-,27347,17
Rpl7,1,16101295,16104662,-,3368,329
Stau2,1,16228674,16520112,-,291439,133
Ube2w,1,16540790,16619489,-,78700,2206
Eloc,1,16641725,16657042,-,15318,464
Jph1,1,16964560,17097889,-,133330,49
Crisp4,1,18115191,18145902,-,30712,14
Defb18,1,18236473,18237443,-,971,2
Defb41,1,18250980,18265138,-,14159,28
Pkhd1,1,20057779,20618064,-,560286,242
Il17f,1,20777146,20790617,-,13472,28
Mcm3,1,20802968,20820312,-,17345,359
Tram2,1,20996299,21079229,-,82931,928
Kcnq5,1,21398403,21961942,-,563540,4552
Rims1,1,22286251,22805994,-,519744,95
Ppp1r14bl,1,23100473,23102253,-,1781,2
Ogfrl1,1,23366424,23397541,-,31118,41
Smap1,1,23845625,23922317,-,76693,2239
Sdhaf4,1,23995939,24005656,-,9718,14
Fam135a,1,24011093,24100333,-,89241,32
Col19a1,1,24263994,24587472,-,323479,121
