Geneid,Chr,Start,End,Strand,Length,count
Xkr4,1,3214482,3671498,-,457017,38
Rp1,1,3999557,4409241,-,409685,32
Sox17,1,4490931,4497354,-,6424,0
Mrpl15,1,4773206,4785739,-,12534,88
Rgs20,1,4909576,5070285,-,160710,31
Npbwr1,1,5913707,5917398,-,3692,0
Sntg1,1,8361475,9299878,-,938404,115
Mybl1,1,9667415,9700209,-,32795,11
Vcpip1,1,9718622,9748382,-,29761,434
Tcf24,1,9960163,9967932,-,7770,0
Ppp1r42,1,9968624,10009136,-,40513,2
Cops5,1,10024601,10038149,-,13549,169
Arfgef1,1,10137571,10232670,-,95100,2039
Cpa6,1,10324720,10719945,-,395226,40
Slco5a1,1,12866549,12992650,-,126102,6
Prdm14,1,13113457,13127163,-,13707,8
Ncoa2,1,13139105,13374083,-,234979,8271
Tram1,1,13564698,13589910,-,25213,485
Lactb2,1,13623330,13660546,-,37217,248
Eya1,1,14168954,14310235,-,141282,10
Msc,1,14753346,14755990,-,2645,0
Trpa1,1,14872648,14918862,-,46215,2
Sbspon,1,15853862,15892722,-,38861,7
4930444P10Rik,1,16065979,16093325,-,27347,6
Rpl7,1,16101295,16104662,-,3368,231
Stau2,1,16228674,16520112,-,291439,31
Ube2w,1,16540790,16619489,-,78700,677
Eloc,1,16641725,16657042,-,15318,204
Jph1,1,16964560,17097889,-,133330,10
Crisp4,1,18115191,18145902,-,30712,0
Defb18,1,18236473,18237443,-,971,0
Defb41,1,18250980,18265138,-,14159,16
Pkhd1,1,20057779,20618064,-,560286,73
Il17f,1,20777146,20790617,-,13472,11
Mcm3,1,20802968,20820312,-,17345,179
Tram2,1,20996299,21079229,-,82931,399
Kcnq5,1,21398403,21961942,-,563540,1103
Rims1,1,22286251,22805994,-,519744,13
Ppp1r14bl,1,23100473,23102253,-,1781,0
Ogfrl1,1,23366424,23397541,-,31118,15
Smap1,1,23845625,23922317,-,76693,654
Sdhaf4,1,23995939,24005656,-,9718,7
Fam135a,1,24011093,24100333,-,89241,9
Col19a1,1,24263994,24587472,-,323479,17
Adgrb3,1,25067476,25829707,-,762232,49
4931408C20Rik,1,26681814,26687460,-,5647,3
Gm597,1,28776117,28780252,-,4136,0
Phf3,1,30802339,30873894,-,71556,1797
Ptp4a1,1,30940302,30949770,-,9469,494
Gm5698,1,30977243,30977968,-,726,0
4931428L18Rik,1,30997842,31222617,-,224776,26
Gm5415,1,32543686,32547294,-,3609,0
Prim2,1,33453810,33669795,-,215986,1034
Bag2,1,33745484,33757795,-,12312,34
Zfp451,1,33761545,33814570,-,53026,662
Bend6,1,33852052,33907816,-,55765,15
Ccdc115,1,34436670,34439672,-,3003,30
Prss40,1,34543968,34560943,-,16976,3
Fam168b,1,34813219,34843065,-,29847,1397
Uggt1,1,36140027,36244305,-,104279,1999
Neurl3,1,36264597,36274679,-,10083,819
Kansl3,1,36335730,36369181,-,33452,903
Lman2l,1,36419871,36445271,-,25401,255
Ankrd23,1,36530188,36536521,-,6334,97
