Geneid,Chr,Start,End,Strand,Length,count
Xkr4,1,3214482,3671498,-,457017,10
Rp1,1,3999557,4409241,-,409685,10
Sox17,1,4490931,4497354,-,6424,0
Mrpl15,1,4773206,4785739,-,12534,255
Rgs20,1,4909576,5070285,-,160710,2
Npbwr1,1,5913707,5917398,-,3692,0
Sntg1,1,8361475,9299878,-,938404,27
Mybl1,1,9667415,9700209,-,32795,39
Vcpip1,1,9718622,9748382,-,29761,204
Tcf24,1,9960163,9967932,-,7770,0
Ppp1r42,1,9968624,10009136,-,40513,4
Cops5,1,10024601,10038149,-,13549,232
Arfgef1,1,10137571,10232670,-,95100,1870
Cpa6,1,10324720,10719945,-,395226,18
Slco5a1,1,12866549,12992650,-,126102,3
Prdm14,1,13113457,13127163,-,13707,0
Ncoa2,1,13139105,13374083,-,234979,3339
Tram1,1,13564698,13589910,-,25213,235
Lactb2,1,13623330,13660546,-,37217,463
Eya1,1,14168954,14310235,-,141282,2
Msc,1,14753346,14755990,-,2645,0
Trpa1,1,14872648,14918862,-,46215,2
Sbspon,1,15853862,15892722,-,38861,4
4930444P10Rik,1,16065979,16093325,-,27347,1
Rpl7,1,16101295,16104662,-,3368,266
Stau2,1,16228674,16520112,-,291439,23
Ube2w,1,16540790,16619489,-,78700,615
Eloc,1,16641725,16657042,-,15318,219
Jph1,1,16964560,17097889,-,133330,3
Crisp4,1,18115191,18145902,-,30712,1
Defb18,1,18236473,18237443,-,971,0
Defb41,1,18250980,18265138,-,14159,17
Pkhd1,1,20057779,20618064,-,560286,11
Il17f,1,20777146,20790617,-,13472,2
Mcm3,1,20802968,20820312,-,17345,786
Tram2,1,20996299,21079229,-,82931,146
Kcnq5,1,21398403,21961942,-,563540,8930
Rims1,1,22286251,22805994,-,519744,4
Ppp1r14bl,1,23100473,23102253,-,1781,0
Ogfrl1,1,23366424,23397541,-,31118,5
Smap1,1,23845625,23922317,-,76693,291
Sdhaf4,1,23995939,24005656,-,9718,8
Fam135a,1,24011093,24100333,-,89241,18
Col19a1,1,24263994,24587472,-,323479,10
Adgrb3,1,25067476,25829707,-,762232,19
4931408C20Rik,1,26681814,26687460,-,5647,0
Gm597,1,28776117,28780252,-,4136,0
Phf3,1,30802339,30873894,-,71556,749
Ptp4a1,1,30940302,30949770,-,9469,88
Gm5698,1,30977243,30977968,-,726,0
4931428L18Rik,1,30997842,31222617,-,224776,5
Gm5415,1,32543686,32547294,-,3609,0
Prim2,1,33453810,33669795,-,215986,2166
Bag2,1,33745484,33757795,-,12312,107
Zfp451,1,33761545,33814570,-,53026,642
Bend6,1,33852052,33907816,-,55765,2
Ccdc115,1,34436670,34439672,-,3003,44
Prss40,1,34543968,34560943,-,16976,0
Fam168b,1,34813219,34843065,-,29847,625
Uggt1,1,36140027,36244305,-,104279,1361
Neurl3,1,36264597,36274679,-,10083,39
Kansl3,1,36335730,36369181,-,33452,932
Lman2l,1,36419871,36445271,-,25401,334
Ankrd23,1,36530188,36536521,-,6334,90
Gm42417,1,36530193,36539429,-,9237,173
Ankrd39,1,36537507,36547445,-,9939,149
Sema4c,1,36548639,36558349,-,9711,257
Fam178b,1,36562692,36683183,-,120492,2
Actr1b,1,36698114,36714422,-,16309,406
Tmem131,1,36792191,36943666,-,151476,1666
Coa5,1,37417084,37430103,-,13020,106
Mgat4a,1,37439340,37541016,-,101677,476
2010300C02Rik,1,37611677,37720085,-,108409,8
Tsga10,1,37754776,37866429,-,111654,12
Mitd1,1,37874801,37890411,-,15611,106
Lyg2,1,37905923,37916493,-,10571,0
Lyg1,1,37946736,37957759,-,11024,0
Txndc9,1,37985189,37997893,-,12705,205
Rev1,1,38052786,38129801,-,77016,1118
Aff3,1,38177326,38664955,-,487630,5891
Lonrf2,1,38793645,38836711,-,43067,3
Chst10,1,38863867,38898161,-,34295,73
Tbc1d8,1,39371492,39478755,-,107264,23
Rnf149,1,39551296,39577405,-,26110,333
Creg2,1,39618406,39651474,-,33069,0
Rfx8,1,39665301,39720997,-,55697,8
Gm3646,1,39804148,39805332,-,1185,0
Mfsd9,1,40772038,40790687,-,18650,5
