Geneid,Chr,Start,End,Strand,Length,count
Xkr4,1,3214482,3671498,-,457017,30
Rp1,1,3999557,4409241,-,409685,32
Sox17,1,4490931,4497354,-,6424,0
Mrpl15,1,4773206,4785739,-,12534,450
Rgs20,1,4909576,5070285,-,160710,16
Npbwr1,1,5913707,5917398,-,3692,0
Sntg1,1,8361475,9299878,-,938404,92
Mybl1,1,9667415,9700209,-,32795,407
Vcpip1,1,9718622,9748382,-,29761,1107
Tcf24,1,9960163,9967932,-,7770,4
Ppp1r42,1,9968624,10009136,-,40513,23
Cops5,1,10024601,10038149,-,13549,605
Arfgef1,1,10137571,10232670,-,95100,6261
Cpa6,1,10324720,10719945,-,395226,15
Slco5a1,1,12866549,12992650,-,126102,28
Prdm14,1,13113457,13127163,-,13707,0
Ncoa2,1,13139105,13374083,-,234979,12256
Tram1,1,13564698,13589910,-,25213,1222
Lactb2,1,13623330,13660546,-,37217,1497
Eya1,1,14168954,14310235,-,141282,2
Msc,1,14753346,14755990,-,2645,0
Trpa1,1,14872648,14918862,-,46215,20
Sbspon,1,15853862,15892722,-,38861,11
4930444P10Rik,1,16065979,16093325,-,27347,28
Rpl7,1,16101295,16104662,-,3368,677
Stau2,1,16228674,16520112,-,291439,257
Ube2w,1,16540790,16619489,-,78700,2666
Eloc,1,16641725,16657042,-,15318,697
Jph1,1,16964560,17097889,-,133330,8
Crisp4,1,18115191,18145902,-,30712,0
Defb18,1,18236473,18237443,-,971,0
Defb41,1,18250980,18265138,-,14159,52
Pkhd1,1,20057779,20618064,-,560286,61
Il17f,1,20777146,20790617,-,13472,42
Mcm3,1,20802968,20820312,-,17345,1875
Tram2,1,20996299,21079229,-,82931,304
Kcnq5,1,21398403,21961942,-,563540,40038
Rims1,1,22286251,22805994,-,519744,11
Ppp1r14bl,1,23100473,23102253,-,1781,0
Ogfrl1,1,23366424,23397541,-,31118,68
Smap1,1,23845625,23922317,-,76693,1710
Sdhaf4,1,23995939,24005656,-,9718,14
Fam135a,1,24011093,24100333,-,89241,46
