Geneid,Chr,Start,End,Strand,Length,count
Lypla1,1,4807788,4848410,+,40623,700
Gm37988,1,4807892,4886770,+,78879,1724
Tcea1,1,4857814,4897909,+,40096,1347
Atp6v1h,1,5070018,5162529,+,92512,1345
Oprk1,1,5588493,5606131,+,17639,4
Rb1cc1,1,6206197,6276648,+,70452,941
Alkal1,1,6359218,6394731,+,35514,17
St18,1,6487231,6860940,+,373710,310
Pcmtd1,1,7088920,7173628,+,84709,961
Rrs1,1,9545408,9547455,+,2048,220
Adhfe1,1,9547948,9580673,+,32726,404
Vxn,1,9601199,9627143,+,25945,11
Sgk3,1,9798107,9900845,+,102739,248
Mcmdc2,1,9908638,9942085,+,33448,13
Cspp1,1,10038006,10136768,+,98763,2423
Prex2,1,10993465,11303681,+,310217,151
A830018L16Rik,1,11414105,11975901,+,561797,271
Sulf1,1,12692277,12861192,+,168916,71
Xkr9,1,13668771,13701723,+,32953,17
Kcnb2,1,15287254,15723750,+,436497,170
Terf1,1,15805646,15844052,+,38407,698
Rdh10,1,16105774,16133734,+,27961,328
Tmem70,1,16665207,16678275,+,13069,311
Ly96,1,16688433,16709611,+,21179,23
Gdap1,1,17145362,17164271,+,18910,11
Pi15,1,17601901,17630939,+,29039,9
Crispld1,1,17727045,17766344,+,39300,18
Tfap2d,1,19103022,19166346,+,63325,26
Tfap2b,1,19208914,19238576,+,29663,12
Il17a,1,20730905,20734496,+,3592,1
Paqr8,1,20890606,20939650,+,49045,62
Efhc1,1,20951688,20990841,+,39154,15
Tmem14a,1,21218575,21230167,+,11593,13
Gsta3,1,21240589,21265661,+,25073,12
Khdc1a,1,21349641,21352200,+,2560,0
Khdc1c,1,21368331,21370845,+,2515,1
Khdc1b,1,21383556,21386373,+,2818,4
Cox5b,1,21501029,36693681,+,15192653,16270
B3gat2,1,23761753,23849158,+,87406,38
Col9a1,1,24177610,24252684,+,75075,31
Lmbrd1,1,24678630,24766301,+,87672,1704
Lgsn,1,31176401,31204725,+,28325,10
Pih1d3,1,31222838,31224288,+,1451,0
Khdrbs2,1,32172714,32658568,+,485855,216
Rab23,1,33719895,33742564,+,22670,189
Dst,1,33908225,34308661,+,400437,331
Imp4,1,34439851,34449356,+,9506,765
Ptpn18,1,34459765,34475733,+,15969,85
Prss39,1,34498410,34503063,+,4654,1
Cfc1,1,34535648,34544313,+,8666,6
Amer3,1,34579657,34590944,+,11288,6
Arhgef4,1,34678188,34813309,+,135122,205
Plekhb2,1,34849976,34879580,+,29605,491
Hs6st1,1,36068400,36106446,+,38047,1414
Arid5a,1,36307733,36324029,+,16297,1394
Fer1l5,1,36372291,36422110,+,49820,25
Cnnm4,1,36471620,36508764,+,37145,344
Cnnm3,1,36511867,36528237,+,16371,542
4933424G06Rik,1,36710149,36757953,+,47805,37
Zap70,1,36761798,36782818,+,21021,8363
Vwa3b,1,37026596,37187607,+,161012,115
Cnga3,1,37214434,37263384,+,48951,23
Inpp4a,1,37299891,37410736,+,110846,1831
Unc50,1,37430139,37439124,+,8986,352
Lipt1,1,37871738,37876228,+,4491,24
Mrpl30,1,37890477,37898535,+,8059,231
Eif5b,1,37998010,38055579,+,57570,2795
Nms,1,38939149,38950276,+,11128,4
Pdcl3,1,38985608,38997238,+,11631,136
Npas2,1,39193731,39363236,+,169506,90
Rpl31,1,39367842,39371911,+,4070,1067
Cnot11,1,39534992,39546889,+,11898,252
Map4k4,1,39900913,40026310,+,125398,6194
Il1r2,1,40074079,40125231,+,51153,74
