Geneid,Chr,Start,End,Strand,Length,count
Lypla1,1,4807788,4848410,+,40623,775
Gm37988,1,4807892,4886770,+,78879,1914
Tcea1,1,4857814,4897909,+,40096,1801
Atp6v1h,1,5070018,5162529,+,92512,7790
Oprk1,1,5588493,5606131,+,17639,0
Rb1cc1,1,6206197,6276648,+,70452,8993
Alkal1,1,6359218,6394731,+,35514,20
St18,1,6487231,6860940,+,373710,174
Pcmtd1,1,7088920,7173628,+,84709,3695
Rrs1,1,9545408,9547455,+,2048,89
Adhfe1,1,9547948,9580673,+,32726,329
Vxn,1,9601199,9627143,+,25945,10
Sgk3,1,9798107,9900845,+,102739,930
Mcmdc2,1,9908638,9942085,+,33448,401
Cspp1,1,10038006,10136768,+,98763,2720
Prex2,1,10993465,11303681,+,310217,94
A830018L16Rik,1,11414105,11975901,+,561797,237
Sulf1,1,12692277,12861192,+,168916,48
Xkr9,1,13668771,13701723,+,32953,9
Kcnb2,1,15287254,15723750,+,436497,117
Terf1,1,15805646,15844052,+,38407,2228
Rdh10,1,16105774,16133734,+,27961,265
Tmem70,1,16665207,16678275,+,13069,131
Ly96,1,16688433,16709611,+,21179,49
Gdap1,1,17145362,17164271,+,18910,6
Pi15,1,17601901,17630939,+,29039,7
Crispld1,1,17727045,17766344,+,39300,10
Tfap2d,1,19103022,19166346,+,63325,26
Tfap2b,1,19208914,19238576,+,29663,5
Il17a,1,20730905,20734496,+,3592,1
Paqr8,1,20890606,20939650,+,49045,253
Efhc1,1,20951688,20990841,+,39154,78
Tmem14a,1,21218575,21230167,+,11593,27
Gsta3,1,21240589,21265661,+,25073,16
Khdc1a,1,21349641,21352200,+,2560,0
Khdc1c,1,21368331,21370845,+,2515,0
Khdc1b,1,21383556,21386373,+,2818,2
Cox5b,1,21501029,36693681,+,15192653,27151
B3gat2,1,23761753,23849158,+,87406,44
Col9a1,1,24177610,24252684,+,75075,14
Lmbrd1,1,24678630,24766301,+,87672,5491
Lgsn,1,31176401,31204725,+,28325,5
Pih1d3,1,31222838,31224288,+,1451,0
Khdrbs2,1,32172714,32658568,+,485855,147
Rab23,1,33719895,33742564,+,22670,129
Dst,1,33908225,34308661,+,400437,430
Imp4,1,34439851,34449356,+,9506,839
Ptpn18,1,34459765,34475733,+,15969,145
Prss39,1,34498410,34503063,+,4654,8
Cfc1,1,34535648,34544313,+,8666,2
Amer3,1,34579657,34590944,+,11288,4
Arhgef4,1,34678188,34813309,+,135122,139
Plekhb2,1,34849976,34879580,+,29605,405
Hs6st1,1,36068400,36106446,+,38047,1015
Arid5a,1,36307733,36324029,+,16297,8193
Fer1l5,1,36372291,36422110,+,49820,10
Cnnm4,1,36471620,36508764,+,37145,702
Cnnm3,1,36511867,36528237,+,16371,515
4933424G06Rik,1,36710149,36757953,+,47805,28
Zap70,1,36761798,36782818,+,21021,3065
Vwa3b,1,37026596,37187607,+,161012,258
Cnga3,1,37214434,37263384,+,48951,8
Inpp4a,1,37299891,37410736,+,110846,1761
Unc50,1,37430139,37439124,+,8986,741
Lipt1,1,37871738,37876228,+,4491,7
Mrpl30,1,37890477,37898535,+,8059,164
Eif5b,1,37998010,38055579,+,57570,3067
Nms,1,38939149,38950276,+,11128,1
Pdcl3,1,38985608,38997238,+,11631,80
Npas2,1,39193731,39363236,+,169506,59
Rpl31,1,39367842,39371911,+,4070,719
Cnot11,1,39534992,39546889,+,11898,662
Map4k4,1,39900913,40026310,+,125398,27792
Il1r2,1,40074079,40125231,+,51153,13
Il1r1,1,40225080,40317257,+,92178,26
Il1rl2,1,40324627,40367562,+,42936,570
Il1rl1,1,40429570,40465415,+,35846,10
Il18r1,1,40465552,40500854,+,35303,1844
Il18rap,1,40515362,40551705,+,36344,282
Slc9a4,1,40580081,40630725,+,50645,8
Slc9a2,1,40680574,40769273,+,88700,44
Tmem182,1,40805601,40856887,+,51287,7
Pou3f3,1,42694925,42703176,+,8252,3
Mrps9,1,42851233,42905683,+,54451,2580
Gpr45,1,42952963,43035456,+,82494,32
AI597479,1,43098710,43115947,+,17238,202
Nck2,1,43444579,43570515,+,125937,8401
Ecrg4,1,43730602,43742578,+,11977,5
Tpp2,1,43934007,44003000,+,68994,10365
Bivm,1,44118957,44144770,+,25814,102
Ercc5,1,44147847,44181260,+,33414,903
Gulp1,1,44551511,44796838,+,245328,88
Col3a1,1,45311538,45349706,+,38169,9
Wdr75,1,45795166,45823619,+,28454,1276
Dnah7b,1,46066738,46373550,+,306813,113
Dnah7c,1,46425592,46807476,+,381885,180
Hspe1,1,47112139,55091307,+,7979169,38746
Tmeff2,1,50909962,51187270,+,277309,63
Cavin2,1,51289126,51302960,+,13835,5
Stat4,1,51987148,52107189,+,120042,18010
Stat1,1,52119440,52161865,+,42426,5560
Nemp2,1,52630703,52651919,+,21217,773
Hibch,1,52845013,52920986,+,75974,839
Mstn,1,53061640,53068079,+,6440,3
Ormdl1,1,53297095,53310309,+,13215,128
