# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_6_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_6_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_6_srt_flt_neg_srt.bam
Xkr4	1	3214482	3671498	-	457017	228
Rp1	1	3999557	4409241	-	409685	187
Sox17	1	4490931	4497354	-	6424	0
Mrpl15	1	4773206	4785739	-	12534	8
Lypla1	1	4807788	4848410	+	40623	700
Gm37988	1	4807892	4886770	+	78879	1724
Tcea1	1	4857814	4897909	+	40096	1347
Rgs20	1	4909576	5070285	-	160710	108
Atp6v1h	1	5070018	5162529	+	92512	1345
Oprk1	1	5588493	5606131	+	17639	4
Npbwr1	1	5913707	5917398	-	3692	2
Rb1cc1	1	6206197	6276648	+	70452	941
Alkal1	1	6359218	6394731	+	35514	17
St18	1	6487231	6860940	+	373710	310
Pcmtd1	1	7088920	7173628	+	84709	961
Sntg1	1	8361475	9299878	-	938404	811
Rrs1	1	9545408	9547455	+	2048	220
Adhfe1	1	9547948	9580673	+	32726	404
Vxn	1	9601199	9627143	+	25945	11
Mybl1	1	9667415	9700209	-	32795	11
Vcpip1	1	9718622	9748382	-	29761	18
Sgk3	1	9798107	9900845	+	102739	248
Mcmdc2	1	9908638	9942085	+	33448	13
Tcf24	1	9960163	9967932	-	7770	3
Ppp1r42	1	9968624	10009136	-	40513	16
Cops5	1	10024601	10038149	-	13549	9
Cspp1	1	10038006	10136768	+	98763	2423
Arfgef1	1	10137571	10232670	-	95100	72
Cpa6	1	10324720	10719945	-	395226	240
Prex2	1	10993465	11303681	+	310217	151
A830018L16Rik	1	11414105	11975901	+	561797	271
Sulf1	1	12692277	12861192	+	168916	71
Slco5a1	1	12866549	12992650	-	126102	54
Prdm14	1	13113457	13127163	-	13707	6
Ncoa2	1	13139105	13374083	-	234979	115
Tram1	1	13564698	13589910	-	25213	13
Lactb2	1	13623330	13660546	-	37217	32
Xkr9	1	13668771	13701723	+	32953	17
Eya1	1	14168954	14310235	-	141282	51
Msc	1	14753346	14755990	-	2645	0
Trpa1	1	14872648	14918862	-	46215	19
Kcnb2	1	15287254	15723750	+	436497	170
Terf1	1	15805646	15844052	+	38407	698
Sbspon	1	15853862	15892722	-	38861	72
4930444P10Rik	1	16065979	16093325	-	27347	18
Rpl7	1	16101295	16104662	-	3368	3
Rdh10	1	16105774	16133734	+	27961	328
Stau2	1	16228674	16520112	-	291439	180
Ube2w	1	16540790	16619489	-	78700	41
Eloc	1	16641725	16657042	-	15318	8
Tmem70	1	16665207	16678275	+	13069	311
Ly96	1	16688433	16709611	+	21179	23
Jph1	1	16964560	17097889	-	133330	66
Gdap1	1	17145362	17164271	+	18910	11
Pi15	1	17601901	17630939	+	29039	9
Crispld1	1	17727045	17766344	+	39300	18
Crisp4	1	18115191	18145902	-	30712	14
Defb18	1	18236473	18237443	-	971	2
Defb41	1	18250980	18265138	-	14159	9
Tfap2d	1	19103022	19166346	+	63325	26
Tfap2b	1	19208914	19238576	+	29663	12
Pkhd1	1	20057779	20618064	-	560286	304
Il17a	1	20730905	20734496	+	3592	1
Il17f	1	20777146	20790617	-	13472	7
Mcm3	1	20802968	20820312	-	17345	10
Paqr8	1	20890606	20939650	+	49045	62
Efhc1	1	20951688	20990841	+	39154	15
Tram2	1	20996299	21079229	-	82931	47
Tmem14a	1	21218575	21230167	+	11593	13
Gsta3	1	21240589	21265661	+	25073	12
Khdc1a	1	21349641	21352200	+	2560	0
Khdc1c	1	21368331	21370845	+	2515	1
Khdc1b	1	21383556	21386373	+	2818	4
Kcnq5	1	21398403	21961942	-	563540	337
Cox5b	1	21501029	36693681	+	15192653	16270
Rims1	1	22286251	22805994	-	519744	103
Ppp1r14bl	1	23100473	23102253	-	1781	2
Ogfrl1	1	23366424	23397541	-	31118	13
B3gat2	1	23761753	23849158	+	87406	38
Smap1	1	23845625	23922317	-	76693	42
Sdhaf4	1	23995939	24005656	-	9718	6
Fam135a	1	24011093	24100333	-	89241	42
Col9a1	1	24177610	24252684	+	75075	31
Col19a1	1	24263994	24587472	-	323479	148
Lmbrd1	1	24678630	24766301	+	87672	1704
Adgrb3	1	25067476	25829707	-	762232	366
4931408C20Rik	1	26681814	26687460	-	5647	5
Gm597	1	28776117	28780252	-	4136	0
Phf3	1	30802339	30873894	-	71556	35
Ptp4a1	1	30940302	30949770	-	9469	8
Gm5698	1	30977243	30977968	-	726	3
4931428L18Rik	1	30997842	31222617	-	224776	99
Lgsn	1	31176401	31204725	+	28325	10
Pih1d3	1	31222838	31224288	+	1451	0
Khdrbs2	1	32172714	32658568	+	485855	216
Gm5415	1	32543686	32547294	-	3609	2
Prim2	1	33453810	33669795	-	215986	102
Rab23	1	33719895	33742564	+	22670	189
Bag2	1	33745484	33757795	-	12312	5
Zfp451	1	33761545	33814570	-	53026	20
Bend6	1	33852052	33907816	-	55765	32
Dst	1	33908225	34308661	+	400437	331
Ccdc115	1	34436670	34439672	-	3003	1
Imp4	1	34439851	34449356	+	9506	765
Ptpn18	1	34459765	34475733	+	15969	85
Prss39	1	34498410	34503063	+	4654	1
Cfc1	1	34535648	34544313	+	8666	6
Prss40	1	34543968	34560943	-	16976	10
Amer3	1	34579657	34590944	+	11288	6
Arhgef4	1	34678188	34813309	+	135122	205
Fam168b	1	34813219	34843065	-	29847	25
Plekhb2	1	34849976	34879580	+	29605	491
Hs6st1	1	36068400	36106446	+	38047	1414
Uggt1	1	36140027	36244305	-	104279	56
Neurl3	1	36264597	36274679	-	10083	12
Arid5a	1	36307733	36324029	+	16297	1394
Kansl3	1	36335730	36369181	-	33452	42
Fer1l5	1	36372291	36422110	+	49820	25
Lman2l	1	36419871	36445271	-	25401	11
Cnnm4	1	36471620	36508764	+	37145	344
Cnnm3	1	36511867	36528237	+	16371	542
Ankrd23	1	36530188	36536521	-	6334	54
Gm42417	1	36530193	36539429	-	9237	57
Ankrd39	1	36537507	36547445	-	9939	8
Sema4c	1	36548639	36558349	-	9711	7
