# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_17_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_17_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_17_srt_flt_neg_srt.bam
Xkr4	1	3214482	3671498	-	457017	67
Rp1	1	3999557	4409241	-	409685	67
Sox17	1	4490931	4497354	-	6424	0
Mrpl15	1	4773206	4785739	-	12534	0
Lypla1	1	4807788	4848410	+	40623	500
Gm37988	1	4807892	4886770	+	78879	1046
Tcea1	1	4857814	4897909	+	40096	752
Rgs20	1	4909576	5070285	-	160710	78
Atp6v1h	1	5070018	5162529	+	92512	2796
Oprk1	1	5588493	5606131	+	17639	1
Npbwr1	1	5913707	5917398	-	3692	0
Rb1cc1	1	6206197	6276648	+	70452	3720
Alkal1	1	6359218	6394731	+	35514	5
St18	1	6487231	6860940	+	373710	69
Pcmtd1	1	7088920	7173628	+	84709	943
Sntg1	1	8361475	9299878	-	938404	607
Rrs1	1	9545408	9547455	+	2048	62
Adhfe1	1	9547948	9580673	+	32726	142
Vxn	1	9601199	9627143	+	25945	3
Mybl1	1	9667415	9700209	-	32795	1
Vcpip1	1	9718622	9748382	-	29761	2
Sgk3	1	9798107	9900845	+	102739	261
Mcmdc2	1	9908638	9942085	+	33448	180
Tcf24	1	9960163	9967932	-	7770	0
Ppp1r42	1	9968624	10009136	-	40513	2
Cops5	1	10024601	10038149	-	13549	6
Cspp1	1	10038006	10136768	+	98763	1060
Arfgef1	1	10137571	10232670	-	95100	19
Cpa6	1	10324720	10719945	-	395226	57
Prex2	1	10993465	11303681	+	310217	61
A830018L16Rik	1	11414105	11975901	+	561797	118
Sulf1	1	12692277	12861192	+	168916	18
Slco5a1	1	12866549	12992650	-	126102	9
Prdm14	1	13113457	13127163	-	13707	0
Ncoa2	1	13139105	13374083	-	234979	55
Tram1	1	13564698	13589910	-	25213	3
Lactb2	1	13623330	13660546	-	37217	10
Xkr9	1	13668771	13701723	+	32953	0
Eya1	1	14168954	14310235	-	141282	13
Msc	1	14753346	14755990	-	2645	0
Trpa1	1	14872648	14918862	-	46215	3
Kcnb2	1	15287254	15723750	+	436497	53
Terf1	1	15805646	15844052	+	38407	909
Sbspon	1	15853862	15892722	-	38861	112
4930444P10Rik	1	16065979	16093325	-	27347	1
Rpl7	1	16101295	16104662	-	3368	1
Rdh10	1	16105774	16133734	+	27961	147
Stau2	1	16228674	16520112	-	291439	42
Ube2w	1	16540790	16619489	-	78700	4
Eloc	1	16641725	16657042	-	15318	0
Tmem70	1	16665207	16678275	+	13069	61
Ly96	1	16688433	16709611	+	21179	9
Jph1	1	16964560	17097889	-	133330	8
Gdap1	1	17145362	17164271	+	18910	1
Pi15	1	17601901	17630939	+	29039	0
Crispld1	1	17727045	17766344	+	39300	8
Crisp4	1	18115191	18145902	-	30712	0
Defb18	1	18236473	18237443	-	971	0
Defb41	1	18250980	18265138	-	14159	2
Tfap2d	1	19103022	19166346	+	63325	6
Tfap2b	1	19208914	19238576	+	29663	2
Pkhd1	1	20057779	20618064	-	560286	79
Il17a	1	20730905	20734496	+	3592	0
Il17f	1	20777146	20790617	-	13472	0
Mcm3	1	20802968	20820312	-	17345	0
Paqr8	1	20890606	20939650	+	49045	96
Efhc1	1	20951688	20990841	+	39154	63
Tram2	1	20996299	21079229	-	82931	31
Tmem14a	1	21218575	21230167	+	11593	5
Gsta3	1	21240589	21265661	+	25073	11
Khdc1a	1	21349641	21352200	+	2560	0
Khdc1c	1	21368331	21370845	+	2515	2
Khdc1b	1	21383556	21386373	+	2818	0
Kcnq5	1	21398403	21961942	-	563540	61
Cox5b	1	21501029	36693681	+	15192653	19059
Rims1	1	22286251	22805994	-	519744	22
Ppp1r14bl	1	23100473	23102253	-	1781	0
Ogfrl1	1	23366424	23397541	-	31118	8
B3gat2	1	23761753	23849158	+	87406	9
Smap1	1	23845625	23922317	-	76693	8
Sdhaf4	1	23995939	24005656	-	9718	0
Fam135a	1	24011093	24100333	-	89241	12
Col9a1	1	24177610	24252684	+	75075	11
Col19a1	1	24263994	24587472	-	323479	35
Lmbrd1	1	24678630	24766301	+	87672	2059
Adgrb3	1	25067476	25829707	-	762232	89
4931408C20Rik	1	26681814	26687460	-	5647	1
Gm597	1	28776117	28780252	-	4136	1
Phf3	1	30802339	30873894	-	71556	19
Ptp4a1	1	30940302	30949770	-	9469	0
Gm5698	1	30977243	30977968	-	726	0
4931428L18Rik	1	30997842	31222617	-	224776	24
Lgsn	1	31176401	31204725	+	28325	2
Pih1d3	1	31222838	31224288	+	1451	0
Khdrbs2	1	32172714	32658568	+	485855	48
Gm5415	1	32543686	32547294	-	3609	0
Prim2	1	33453810	33669795	-	215986	21
Rab23	1	33719895	33742564	+	22670	109
Bag2	1	33745484	33757795	-	12312	7
Zfp451	1	33761545	33814570	-	53026	5
Bend6	1	33852052	33907816	-	55765	5
Dst	1	33908225	34308661	+	400437	279
Ccdc115	1	34436670	34439672	-	3003	8
Imp4	1	34439851	34449356	+	9506	578
Ptpn18	1	34459765	34475733	+	15969	114
Prss39	1	34498410	34503063	+	4654	10
Cfc1	1	34535648	34544313	+	8666	0
Prss40	1	34543968	34560943	-	16976	1
Amer3	1	34579657	34590944	+	11288	1
Arhgef4	1	34678188	34813309	+	135122	166
Fam168b	1	34813219	34843065	-	29847	19
Plekhb2	1	34849976	34879580	+	29605	235
Hs6st1	1	36068400	36106446	+	38047	1117
Uggt1	1	36140027	36244305	-	104279	19
Neurl3	1	36264597	36274679	-	10083	44
Arid5a	1	36307733	36324029	+	16297	8042
Kansl3	1	36335730	36369181	-	33452	547
Fer1l5	1	36372291	36422110	+	49820	8
Lman2l	1	36419871	36445271	-	25401	1
Cnnm4	1	36471620	36508764	+	37145	746
Cnnm3	1	36511867	36528237	+	16371	655
Ankrd23	1	36530188	36536521	-	6334	126
Gm42417	1	36530193	36539429	-	9237	140
Ankrd39	1	36537507	36547445	-	9939	27
Sema4c	1	36548639	36558349	-	9711	2
Fam178b	1	36562692	36683183	-	120492	22
Actr1b	1	36698114	36714422	-	16309	7
4933424G06Rik	1	36710149	36757953	+	47805	17
Zap70	1	36761798	36782818	+	21021	2664
Tmem131	1	36792191	36943666	-	151476	255
Vwa3b	1	37026596	37187607	+	161012	155
Cnga3	1	37214434	37263384	+	48951	7
Inpp4a	1	37299891	37410736	+	110846	987
Coa5	1	37417084	37430103	-	13020	169
Unc50	1	37430139	37439124	+	8986	414
Mgat4a	1	37439340	37541016	-	101677	56
2010300C02Rik	1	37611677	37720085	-	108409	20
Tsga10	1	37754776	37866429	-	111654	22
Lipt1	1	37871738	37876228	+	4491	5
Mitd1	1	37874801	37890411	-	15611	4
Mrpl30	1	37890477	37898535	+	8059	75
Lyg2	1	37905923	37916493	-	10571	1
Lyg1	1	37946736	37957759	-	11024	2
Txndc9	1	37985189	37997893	-	12705	3
