# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_10_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_10_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_10_srt_flt_neg_srt.bam
Xkr4	1	3214482	3671498	-	457017	42
Rp1	1	3999557	4409241	-	409685	34
Sox17	1	4490931	4497354	-	6424	0
Mrpl15	1	4773206	4785739	-	12534	0
Lypla1	1	4807788	4848410	+	40623	226
Gm37988	1	4807892	4886770	+	78879	614
Tcea1	1	4857814	4897909	+	40096	500
Rgs20	1	4909576	5070285	-	160710	30
Atp6v1h	1	5070018	5162529	+	92512	468
Oprk1	1	5588493	5606131	+	17639	1
Npbwr1	1	5913707	5917398	-	3692	2
Rb1cc1	1	6206197	6276648	+	70452	347
Alkal1	1	6359218	6394731	+	35514	1
St18	1	6487231	6860940	+	373710	76
Pcmtd1	1	7088920	7173628	+	84709	253
Sntg1	1	8361475	9299878	-	938404	300
Rrs1	1	9545408	9547455	+	2048	165
Adhfe1	1	9547948	9580673	+	32726	227
Vxn	1	9601199	9627143	+	25945	1
Mybl1	1	9667415	9700209	-	32795	2
Vcpip1	1	9718622	9748382	-	29761	2
Sgk3	1	9798107	9900845	+	102739	75
Mcmdc2	1	9908638	9942085	+	33448	2
Tcf24	1	9960163	9967932	-	7770	0
Ppp1r42	1	9968624	10009136	-	40513	2
Cops5	1	10024601	10038149	-	13549	1
Cspp1	1	10038006	10136768	+	98763	774
Arfgef1	1	10137571	10232670	-	95100	26
Cpa6	1	10324720	10719945	-	395226	38
Prex2	1	10993465	11303681	+	310217	20
A830018L16Rik	1	11414105	11975901	+	561797	58
Sulf1	1	12692277	12861192	+	168916	12
Slco5a1	1	12866549	12992650	-	126102	7
Prdm14	1	13113457	13127163	-	13707	0
Ncoa2	1	13139105	13374083	-	234979	26
Tram1	1	13564698	13589910	-	25213	0
Lactb2	1	13623330	13660546	-	37217	5
Xkr9	1	13668771	13701723	+	32953	2
Eya1	1	14168954	14310235	-	141282	8
Msc	1	14753346	14755990	-	2645	1
Trpa1	1	14872648	14918862	-	46215	6
Kcnb2	1	15287254	15723750	+	436497	34
Terf1	1	15805646	15844052	+	38407	209
Sbspon	1	15853862	15892722	-	38861	21
4930444P10Rik	1	16065979	16093325	-	27347	5
Rpl7	1	16101295	16104662	-	3368	0
Rdh10	1	16105774	16133734	+	27961	108
Stau2	1	16228674	16520112	-	291439	22
Ube2w	1	16540790	16619489	-	78700	10
Eloc	1	16641725	16657042	-	15318	2
Tmem70	1	16665207	16678275	+	13069	123
Ly96	1	16688433	16709611	+	21179	11
Jph1	1	16964560	17097889	-	133330	10
Gdap1	1	17145362	17164271	+	18910	2
Pi15	1	17601901	17630939	+	29039	0
Crispld1	1	17727045	17766344	+	39300	3
Crisp4	1	18115191	18145902	-	30712	3
Defb18	1	18236473	18237443	-	971	0
Defb41	1	18250980	18265138	-	14159	0
Tfap2d	1	19103022	19166346	+	63325	6
Tfap2b	1	19208914	19238576	+	29663	2
Pkhd1	1	20057779	20618064	-	560286	63
Il17a	1	20730905	20734496	+	3592	0
Il17f	1	20777146	20790617	-	13472	1
Mcm3	1	20802968	20820312	-	17345	0
Paqr8	1	20890606	20939650	+	49045	7
Efhc1	1	20951688	20990841	+	39154	3
Tram2	1	20996299	21079229	-	82931	7
Tmem14a	1	21218575	21230167	+	11593	4
Gsta3	1	21240589	21265661	+	25073	1
Khdc1a	1	21349641	21352200	+	2560	0
Khdc1c	1	21368331	21370845	+	2515	0
Khdc1b	1	21383556	21386373	+	2818	0
Kcnq5	1	21398403	21961942	-	563540	75
Cox5b	1	21501029	36693681	+	15192653	6104
Rims1	1	22286251	22805994	-	519744	20
Ppp1r14bl	1	23100473	23102253	-	1781	1
Ogfrl1	1	23366424	23397541	-	31118	3
B3gat2	1	23761753	23849158	+	87406	9
Smap1	1	23845625	23922317	-	76693	8
Sdhaf4	1	23995939	24005656	-	9718	0
Fam135a	1	24011093	24100333	-	89241	13
Col9a1	1	24177610	24252684	+	75075	8
Col19a1	1	24263994	24587472	-	323479	31
Lmbrd1	1	24678630	24766301	+	87672	637
Adgrb3	1	25067476	25829707	-	762232	79
4931408C20Rik	1	26681814	26687460	-	5647	3
Gm597	1	28776117	28780252	-	4136	0
Phf3	1	30802339	30873894	-	71556	6
Ptp4a1	1	30940302	30949770	-	9469	1
Gm5698	1	30977243	30977968	-	726	0
4931428L18Rik	1	30997842	31222617	-	224776	23
Lgsn	1	31176401	31204725	+	28325	0
Pih1d3	1	31222838	31224288	+	1451	1
Khdrbs2	1	32172714	32658568	+	485855	35
Gm5415	1	32543686	32547294	-	3609	0
Prim2	1	33453810	33669795	-	215986	23
Rab23	1	33719895	33742564	+	22670	69
Bag2	1	33745484	33757795	-	12312	0
