# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_14_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_14_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_14_srt_flt_neg_srt.bam
Xkr4	1	3214482	3671498	-	457017	64
Rp1	1	3999557	4409241	-	409685	68
Sox17	1	4490931	4497354	-	6424	0
Mrpl15	1	4773206	4785739	-	12534	0
Lypla1	1	4807788	4848410	+	40623	102
Gm37988	1	4807892	4886770	+	78879	247
Tcea1	1	4857814	4897909	+	40096	190
Rgs20	1	4909576	5070285	-	160710	43
Atp6v1h	1	5070018	5162529	+	92512	169
Oprk1	1	5588493	5606131	+	17639	1
Npbwr1	1	5913707	5917398	-	3692	0
Rb1cc1	1	6206197	6276648	+	70452	129
Alkal1	1	6359218	6394731	+	35514	15
St18	1	6487231	6860940	+	373710	100
Pcmtd1	1	7088920	7173628	+	84709	111
Sntg1	1	8361475	9299878	-	938404	274
Rrs1	1	9545408	9547455	+	2048	80
Adhfe1	1	9547948	9580673	+	32726	88
Vxn	1	9601199	9627143	+	25945	3
Mybl1	1	9667415	9700209	-	32795	3
Vcpip1	1	9718622	9748382	-	29761	7
Sgk3	1	9798107	9900845	+	102739	33
Mcmdc2	1	9908638	9942085	+	33448	5
Tcf24	1	9960163	9967932	-	7770	0
Ppp1r42	1	9968624	10009136	-	40513	2
Cops5	1	10024601	10038149	-	13549	1
Cspp1	1	10038006	10136768	+	98763	319
Arfgef1	1	10137571	10232670	-	95100	25
Cpa6	1	10324720	10719945	-	395226	71
Prex2	1	10993465	11303681	+	310217	47
A830018L16Rik	1	11414105	11975901	+	561797	103
Sulf1	1	12692277	12861192	+	168916	34
Slco5a1	1	12866549	12992650	-	126102	19
Prdm14	1	13113457	13127163	-	13707	0
Ncoa2	1	13139105	13374083	-	234979	38
Tram1	1	13564698	13589910	-	25213	7
Lactb2	1	13623330	13660546	-	37217	8
Xkr9	1	13668771	13701723	+	32953	5
Eya1	1	14168954	14310235	-	141282	29
Msc	1	14753346	14755990	-	2645	0
Trpa1	1	14872648	14918862	-	46215	6
Kcnb2	1	15287254	15723750	+	436497	67
Terf1	1	15805646	15844052	+	38407	80
Sbspon	1	15853862	15892722	-	38861	20
4930444P10Rik	1	16065979	16093325	-	27347	2
Rpl7	1	16101295	16104662	-	3368	0
Rdh10	1	16105774	16133734	+	27961	60
Stau2	1	16228674	16520112	-	291439	60
Ube2w	1	16540790	16619489	-	78700	16
Eloc	1	16641725	16657042	-	15318	2
