Geneid,Chr,Start,End,Strand,Length,count
Lypla1,1,4807788,4848410,+,40623,510
Gm37988,1,4807892,4886770,+,78879,1297
Tcea1,1,4857814,4897909,+,40096,1073
Atp6v1h,1,5070018,5162529,+,92512,841
Oprk1,1,5588493,5606131,+,17639,20
Rb1cc1,1,6206197,6276648,+,70452,572
Alkal1,1,6359218,6394731,+,35514,35
St18,1,6487231,6860940,+,373710,328
Pcmtd1,1,7088920,7173628,+,84709,469
Rrs1,1,9545408,9547455,+,2048,145
Adhfe1,1,9547948,9580673,+,32726,300
Vxn,1,9601199,9627143,+,25945,8
Sgk3,1,9798107,9900845,+,102739,176
Mcmdc2,1,9908638,9942085,+,33448,21
Cspp1,1,10038006,10136768,+,98763,1478
Prex2,1,10993465,11303681,+,310217,213
A830018L16Rik,1,11414105,11975901,+,561797,482
Sulf1,1,12692277,12861192,+,168916,108
Xkr9,1,13668771,13701723,+,32953,17
Kcnb2,1,15287254,15723750,+,436497,289
Terf1,1,15805646,15844052,+,38407,385
Rdh10,1,16105774,16133734,+,27961,196
Tmem70,1,16665207,16678275,+,13069,175
Ly96,1,16688433,16709611,+,21179,24
Gdap1,1,17145362,17164271,+,18910,12
Pi15,1,17601901,17630939,+,29039,28
Crispld1,1,17727045,17766344,+,39300,26
Tfap2d,1,19103022,19166346,+,63325,51
Tfap2b,1,19208914,19238576,+,29663,27
Il17a,1,20730905,20734496,+,3592,2
Paqr8,1,20890606,20939650,+,49045,37
Efhc1,1,20951688,20990841,+,39154,24
Tmem14a,1,21218575,21230167,+,11593,12
Gsta3,1,21240589,21265661,+,25073,11
Khdc1a,1,21349641,21352200,+,2560,2
Khdc1c,1,21368331,21370845,+,2515,2
Khdc1b,1,21383556,21386373,+,2818,1
Cox5b,1,21501029,36693681,+,15192653,18550
B3gat2,1,23761753,23849158,+,87406,51
Col9a1,1,24177610,24252684,+,75075,45
Lmbrd1,1,24678630,24766301,+,87672,1022
Lgsn,1,31176401,31204725,+,28325,23
Pih1d3,1,31222838,31224288,+,1451,0
Khdrbs2,1,32172714,32658568,+,485855,362
Rab23,1,33719895,33742564,+,22670,113
Dst,1,33908225,34308661,+,400437,368
Imp4,1,34439851,34449356,+,9506,534
Ptpn18,1,34459765,34475733,+,15969,53
Prss39,1,34498410,34503063,+,4654,4
Cfc1,1,34535648,34544313,+,8666,7
Amer3,1,34579657,34590944,+,11288,8
Arhgef4,1,34678188,34813309,+,135122,238
Plekhb2,1,34849976,34879580,+,29605,307
Hs6st1,1,36068400,36106446,+,38047,1081
Arid5a,1,36307733,36324029,+,16297,2236
Fer1l5,1,36372291,36422110,+,49820,27
Cnnm4,1,36471620,36508764,+,37145,200
Cnnm3,1,36511867,36528237,+,16371,392
4933424G06Rik,1,36710149,36757953,+,47805,28
Zap70,1,36761798,36782818,+,21021,5842
Vwa3b,1,37026596,37187607,+,161012,80
Cnga3,1,37214434,37263384,+,48951,29
Inpp4a,1,37299891,37410736,+,110846,1125
Unc50,1,37430139,37439124,+,8986,224
Lipt1,1,37871738,37876228,+,4491,16
Mrpl30,1,37890477,37898535,+,8059,181
Eif5b,1,37998010,38055579,+,57570,1949
Nms,1,38939149,38950276,+,11128,7
Pdcl3,1,38985608,38997238,+,11631,105
Npas2,1,39193731,39363236,+,169506,123
Rpl31,1,39367842,39371911,+,4070,808
Cnot11,1,39534992,39546889,+,11898,166
Map4k4,1,39900913,40026310,+,125398,2982
Il1r2,1,40074079,40125231,+,51153,44
Il1r1,1,40225080,40317257,+,92178,60
Il1rl2,1,40324627,40367562,+,42936,394
Il1rl1,1,40429570,40465415,+,35846,24
Il18r1,1,40465552,40500854,+,35303,50
Il18rap,1,40515362,40551705,+,36344,59
Slc9a4,1,40580081,40630725,+,50645,29
Slc9a2,1,40680574,40769273,+,88700,59
Tmem182,1,40805601,40856887,+,51287,27
Pou3f3,1,42694925,42703176,+,8252,2
