# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_8_pos_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_8_srt_flt_pos_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_8_srt_flt_pos_srt.bam
Xkr4	1	3214482	3671498	-	457017	107
Rp1	1	3999557	4409241	-	409685	79
Sox17	1	4490931	4497354	-	6424	3
Mrpl15	1	4773206	4785739	-	12534	185
Lypla1	1	4807788	4848410	+	40623	13
Gm37988	1	4807892	4886770	+	78879	36
Tcea1	1	4857814	4897909	+	40096	17
Rgs20	1	4909576	5070285	-	160710	55
Atp6v1h	1	5070018	5162529	+	92512	19
Oprk1	1	5588493	5606131	+	17639	1
Npbwr1	1	5913707	5917398	-	3692	1
Rb1cc1	1	6206197	6276648	+	70452	121
Alkal1	1	6359218	6394731	+	35514	9
St18	1	6487231	6860940	+	373710	108
Pcmtd1	1	7088920	7173628	+	84709	24
Sntg1	1	8361475	9299878	-	938404	249
Rrs1	1	9545408	9547455	+	2048	1
Adhfe1	1	9547948	9580673	+	32726	16
Vxn	1	9601199	9627143	+	25945	7
Mybl1	1	9667415	9700209	-	32795	274
Vcpip1	1	9718622	9748382	-	29761	1027
Sgk3	1	9798107	9900845	+	102739	34
Mcmdc2	1	9908638	9942085	+	33448	156
Tcf24	1	9960163	9967932	-	7770	2
Ppp1r42	1	9968624	10009136	-	40513	20
Cops5	1	10024601	10038149	-	13549	327
Cspp1	1	10038006	10136768	+	98763	260
Arfgef1	1	10137571	10232670	-	95100	6009
Cpa6	1	10324720	10719945	-	395226	102
Prex2	1	10993465	11303681	+	310217	84
A830018L16Rik	1	11414105	11975901	+	561797	174
Sulf1	1	12692277	12861192	+	168916	35
Slco5a1	1	12866549	12992650	-	126102	57
Prdm14	1	13113457	13127163	-	13707	6
Ncoa2	1	13139105	13374083	-	234979	15172
Tram1	1	13564698	13589910	-	25213	920
Lactb2	1	13623330	13660546	-	37217	865
Xkr9	1	13668771	13701723	+	32953	7
Eya1	1	14168954	14310235	-	141282	40
Msc	1	14753346	14755990	-	2645	1
Trpa1	1	14872648	14918862	-	46215	154
Kcnb2	1	15287254	15723750	+	436497	96
Terf1	1	15805646	15844052	+	38407	13
Sbspon	1	15853862	15892722	-	38861	21
4930444P10Rik	1	16065979	16093325	-	27347	11
Rpl7	1	16101295	16104662	-	3368	259
Rdh10	1	16105774	16133734	+	27961	2
Stau2	1	16228674	16520112	-	291439	249
Ube2w	1	16540790	16619489	-	78700	2311
Eloc	1	16641725	16657042	-	15318	414
Tmem70	1	16665207	16678275	+	13069	4
Ly96	1	16688433	16709611	+	21179	7
Jph1	1	16964560	17097889	-	133330	34
Gdap1	1	17145362	17164271	+	18910	4
Pi15	1	17601901	17630939	+	29039	4
Crispld1	1	17727045	17766344	+	39300	6
Crisp4	1	18115191	18145902	-	30712	6
Defb18	1	18236473	18237443	-	971	0
Defb41	1	18250980	18265138	-	14159	29
Tfap2d	1	19103022	19166346	+	63325	31
Tfap2b	1	19208914	19238576	+	29663	5
Pkhd1	1	20057779	20618064	-	560286	150
Il17a	1	20730905	20734496	+	3592	2
Il17f	1	20777146	20790617	-	13472	15
Mcm3	1	20802968	20820312	-	17345	1188
Paqr8	1	20890606	20939650	+	49045	13
Efhc1	1	20951688	20990841	+	39154	22
Tram2	1	20996299	21079229	-	82931	817
Tmem14a	1	21218575	21230167	+	11593	6
Gsta3	1	21240589	21265661	+	25073	21
Khdc1a	1	21349641	21352200	+	2560	1
Khdc1c	1	21368331	21370845	+	2515	2
Khdc1b	1	21383556	21386373	+	2818	0
Kcnq5	1	21398403	21961942	-	563540	28591
Cox5b	1	21501029	36693681	+	15192653	57813
Rims1	1	22286251	22805994	-	519744	59
Ppp1r14bl	1	23100473	23102253	-	1781	0
Ogfrl1	1	23366424	23397541	-	31118	62
B3gat2	1	23761753	23849158	+	87406	363
Smap1	1	23845625	23922317	-	76693	1787
Sdhaf4	1	23995939	24005656	-	9718	44
Fam135a	1	24011093	24100333	-	89241	45
Col9a1	1	24177610	24252684	+	75075	13
Col19a1	1	24263994	24587472	-	323479	71
Lmbrd1	1	24678630	24766301	+	87672	29
Adgrb3	1	25067476	25829707	-	762232	152
4931408C20Rik	1	26681814	26687460	-	5647	3
Gm597	1	28776117	28780252	-	4136	1
Phf3	1	30802339	30873894	-	71556	3518
Ptp4a1	1	30940302	30949770	-	9469	132
Gm5698	1	30977243	30977968	-	726	1
4931428L18Rik	1	30997842	31222617	-	224776	61
Lgsn	1	31176401	31204725	+	28325	9
Pih1d3	1	31222838	31224288	+	1451	1
Khdrbs2	1	32172714	32658568	+	485855	102
Gm5415	1	32543686	32547294	-	3609	1
Prim2	1	33453810	33669795	-	215986	8327
Rab23	1	33719895	33742564	+	22670	22
Bag2	1	33745484	33757795	-	12312	118
Zfp451	1	33761545	33814570	-	53026	1749
Bend6	1	33852052	33907816	-	55765	23
Dst	1	33908225	34308661	+	400437	73
Ccdc115	1	34436670	34439672	-	3003	39
Imp4	1	34439851	34449356	+	9506	4
Ptpn18	1	34459765	34475733	+	15969	55
Prss39	1	34498410	34503063	+	4654	1
Cfc1	1	34535648	34544313	+	8666	3
Prss40	1	34543968	34560943	-	16976	3
Amer3	1	34579657	34590944	+	11288	0
Arhgef4	1	34678188	34813309	+	135122	195
Fam168b	1	34813219	34843065	-	29847	1805
Plekhb2	1	34849976	34879580	+	29605	5
Hs6st1	1	36068400	36106446	+	38047	10
Uggt1	1	36140027	36244305	-	104279	3875
Neurl3	1	36264597	36274679	-	10083	193
Arid5a	1	36307733	36324029	+	16297	17
Kansl3	1	36335730	36369181	-	33452	1439
Fer1l5	1	36372291	36422110	+	49820	136
Lman2l	1	36419871	36445271	-	25401	520
Cnnm4	1	36471620	36508764	+	37145	7
Cnnm3	1	36511867	36528237	+	16371	3
Ankrd23	1	36530188	36536521	-	6334	134
Gm42417	1	36530193	36539429	-	9237	243
Ankrd39	1	36537507	36547445	-	9939	204
Sema4c	1	36548639	36558349	-	9711	216
Fam178b	1	36562692	36683183	-	120492	36
Actr1b	1	36698114	36714422	-	16309	360
4933424G06Rik	1	36710149	36757953	+	47805	20
Zap70	1	36761798	36782818	+	21021	15
Tmem131	1	36792191	36943666	-	151476	5996
Vwa3b	1	37026596	37187607	+	161012	32
Cnga3	1	37214434	37263384	+	48951	11
Inpp4a	1	37299891	37410736	+	110846	26
Coa5	1	37417084	37430103	-	13020	125
Unc50	1	37430139	37439124	+	8986	45
Mgat4a	1	37439340	37541016	-	101677	2523
2010300C02Rik	1	37611677	37720085	-	108409	51
Tsga10	1	37754776	37866429	-	111654	136
Lipt1	1	37871738	37876228	+	4491	27
Mitd1	1	37874801	37890411	-	15611	251
Mrpl30	1	37890477	37898535	+	8059	3
Lyg2	1	37905923	37916493	-	10571	2
Lyg1	1	37946736	37957759	-	11024	7
Txndc9	1	37985189	37997893	-	12705	359
Eif5b	1	37998010	38055579	+	57570	320
Rev1	1	38052786	38129801	-	77016	2491
Aff3	1	38177326	38664955	-	487630	73341
Lonrf2	1	38793645	38836711	-	43067	7
Chst10	1	38863867	38898161	-	34295	171
Nms	1	38939149	38950276	+	11128	1
Pdcl3	1	38985608	38997238	+	11631	5
Npas2	1	39193731	39363236	+	169506	47
Rpl31	1	39367842	39371911	+	4070	1
Tbc1d8	1	39371492	39478755	-	107264	64
Cnot11	1	39534992	39546889	+	11898	47
Rnf149	1	39551296	39577405	-	26110	755
Creg2	1	39618406	39651474	-	33069	7
Rfx8	1	39665301	39720997	-	55697	44
Gm3646	1	39804148	39805332	-	1185	0
Map4k4	1	39900913	40026310	+	125398	52
Il1r2	1	40074079	40125231	+	51153	25
Il1r1	1	40225080	40317257	+	92178	19
Il1rl2	1	40324627	40367562	+	42936	11
Il1rl1	1	40429570	40465415	+	35846	15
Il18r1	1	40465552	40500854	+	35303	10
Il18rap	1	40515362	40551705	+	36344	16
Slc9a4	1	40580081	40630725	+	50645	5
Slc9a2	1	40680574	40769273	+	88700	30
Mfsd9	1	40772038	40790687	-	18650	35
Tmem182	1	40805601	40856887	+	51287	16
Pou3f3	1	42694925	42703176	+	8252	1
Mrps9	1	42851233	42905683	+	54451	17
Gpr45	1	42952963	43035456	+	82494	28
Tgfbrap1	1	43047200	43098622	-	51423	496
AI597479	1	43098710	43115947	+	17238	12
Fhl2	1	43123074	43196984	-	73911	481
Nck2	1	43444579	43570515	+	125937	51
Ecrg4	1	43730602	43742578	+	11977	58
Uxs1	1	43746966	43827800	-	80835	2324
Tpp2	1	43934007	44003000	+	68994	33
Mettl21c	1	44009408	44020006	-	10599	4
Gm8251	1	44055872	44079746	-	23875	108
Tex30	1	44086613	44102441	-	15829	306
Poglut2	1	44106546	44118808	-	12263	141
Bivm	1	44118957	44144770	+	25814	8
Ercc5	1	44147847	44181260	+	33414	4
Mettl21e	1	44204070	44218961	-	14892	5
Gulp1	1	44551511	44796838	+	245328	66
Col3a1	1	45311538	45349706	+	38169	6
Col5a2	1	45374321	45503282	-	128962	30
Wdr75	1	45795166	45823619	+	28454	3
Gm5269	1	45889941	45890078	-	138	1
Slc40a1	1	45908068	45926519	-	18452	11
Dnah7b	1	46066738	46373550	+	306813	120
Dnah7c	1	46425592	46807476	+	381885	132
Slc39a10	1	46807544	46892852	-	85309	508
Hspe1	1	47112139	55091307	+	7979169	59071
Tmeff2	1	50909962	51187270	+	277309	86
Cavin2	1	51289126	51302960	+	13835	2
Nabp1	1	51465862	51478425	-	12564	1654
Myo1b	1	51749765	51916071	-	166307	55
Stat4	1	51987148	52107189	+	120042	74
Stat1	1	52119440	52161865	+	42426	29
Gls	1	52163448	52233232	-	69785	5331
Nab1	1	52457294	52500679	-	43386	1126
