Geneid,Chr,Start,End,Strand,Length,count
Lypla1,1,4807788,4848410,+,40623,691
Gm37988,1,4807892,4886770,+,78879,1672
Tcea1,1,4857814,4897909,+,40096,1386
Atp6v1h,1,5070018,5162529,+,92512,4212
Oprk1,1,5588493,5606131,+,17639,7
Rb1cc1,1,6206197,6276648,+,70452,5152
Alkal1,1,6359218,6394731,+,35514,19
St18,1,6487231,6860940,+,373710,227
Pcmtd1,1,7088920,7173628,+,84709,2576
Rrs1,1,9545408,9547455,+,2048,55
Adhfe1,1,9547948,9580673,+,32726,233
Vxn,1,9601199,9627143,+,25945,12
Sgk3,1,9798107,9900845,+,102739,522
Mcmdc2,1,9908638,9942085,+,33448,205
Cspp1,1,10038006,10136768,+,98763,1842
Prex2,1,10993465,11303681,+,310217,121
A830018L16Rik,1,11414105,11975901,+,561797,267
Sulf1,1,12692277,12861192,+,168916,80
Xkr9,1,13668771,13701723,+,32953,14
Kcnb2,1,15287254,15723750,+,436497,155
Terf1,1,15805646,15844052,+,38407,1475
Rdh10,1,16105774,16133734,+,27961,207
Tmem70,1,16665207,16678275,+,13069,134
Ly96,1,16688433,16709611,+,21179,34
Gdap1,1,17145362,17164271,+,18910,10
Pi15,1,17601901,17630939,+,29039,13
Crispld1,1,17727045,17766344,+,39300,13
Tfap2d,1,19103022,19166346,+,63325,23
Tfap2b,1,19208914,19238576,+,29663,8
Il17a,1,20730905,20734496,+,3592,2
Paqr8,1,20890606,20939650,+,49045,169
Efhc1,1,20951688,20990841,+,39154,40
Tmem14a,1,21218575,21230167,+,11593,21
Gsta3,1,21240589,21265661,+,25073,24
Khdc1a,1,21349641,21352200,+,2560,1
Khdc1c,1,21368331,21370845,+,2515,6
Khdc1b,1,21383556,21386373,+,2818,2
Cox5b,1,21501029,36693681,+,15192653,23058
B3gat2,1,23761753,23849158,+,87406,40
Col9a1,1,24177610,24252684,+,75075,25
Lmbrd1,1,24678630,24766301,+,87672,3704
Lgsn,1,31176401,31204725,+,28325,6
Pih1d3,1,31222838,31224288,+,1451,1
Khdrbs2,1,32172714,32658568,+,485855,205
Rab23,1,33719895,33742564,+,22670,123
Dst,1,33908225,34308661,+,400437,300
Imp4,1,34439851,34449356,+,9506,562
Ptpn18,1,34459765,34475733,+,15969,134
Prss39,1,34498410,34503063,+,4654,5
Cfc1,1,34535648,34544313,+,8666,5
Amer3,1,34579657,34590944,+,11288,9
Arhgef4,1,34678188,34813309,+,135122,130
Plekhb2,1,34849976,34879580,+,29605,333
Hs6st1,1,36068400,36106446,+,38047,1048
Arid5a,1,36307733,36324029,+,16297,6949
Fer1l5,1,36372291,36422110,+,49820,17
Cnnm4,1,36471620,36508764,+,37145,565
Cnnm3,1,36511867,36528237,+,16371,467
4933424G06Rik,1,36710149,36757953,+,47805,33
Zap70,1,36761798,36782818,+,21021,2424
Vwa3b,1,37026596,37187607,+,161012,975
Cnga3,1,37214434,37263384,+,48951,14
Inpp4a,1,37299891,37410736,+,110846,1531
Unc50,1,37430139,37439124,+,8986,506
Lipt1,1,37871738,37876228,+,4491,8
Mrpl30,1,37890477,37898535,+,8059,154
Eif5b,1,37998010,38055579,+,57570,2056
Nms,1,38939149,38950276,+,11128,2
Pdcl3,1,38985608,38997238,+,11631,58
Npas2,1,39193731,39363236,+,169506,75
Rpl31,1,39367842,39371911,+,4070,494
Cnot11,1,39534992,39546889,+,11898,508
Map4k4,1,39900913,40026310,+,125398,24153
Il1r2,1,40074079,40125231,+,51153,19
Il1r1,1,40225080,40317257,+,92178,48
Il1rl2,1,40324627,40367562,+,42936,408
Il1rl1,1,40429570,40465415,+,35846,28
Il18r1,1,40465552,40500854,+,35303,1534
Il18rap,1,40515362,40551705,+,36344,467
Slc9a4,1,40580081,40630725,+,50645,18
Slc9a2,1,40680574,40769273,+,88700,63
Tmem182,1,40805601,40856887,+,51287,12
Pou3f3,1,42694925,42703176,+,8252,4
Mrps9,1,42851233,42905683,+,54451,1826
Gpr45,1,42952963,43035456,+,82494,29
AI597479,1,43098710,43115947,+,17238,188
Nck2,1,43444579,43570515,+,125937,5212
Ecrg4,1,43730602,43742578,+,11977,5
Tpp2,1,43934007,44003000,+,68994,5377
Bivm,1,44118957,44144770,+,25814,55
Ercc5,1,44147847,44181260,+,33414,589
Gulp1,1,44551511,44796838,+,245328,98
Col3a1,1,45311538,45349706,+,38169,12
Wdr75,1,45795166,45823619,+,28454,904
Dnah7b,1,46066738,46373550,+,306813,144
Dnah7c,1,46425592,46807476,+,381885,199
Hspe1,1,47112139,55091307,+,7979169,37456
Tmeff2,1,50909962,51187270,+,277309,109
Cavin2,1,51289126,51302960,+,13835,5
Stat4,1,51987148,52107189,+,120042,10542
Stat1,1,52119440,52161865,+,42426,11365
Nemp2,1,52630703,52651919,+,21217,633
Hibch,1,52845013,52920986,+,75974,623
Mstn,1,53061640,53068079,+,6440,6
Ormdl1,1,53297095,53310309,+,13215,112
Gm28778,1,53297111,53318035,+,20925,151
Osgepl1,1,53313624,53326343,+,12720,63
Ccdc150,1,54250683,54368727,+,118045,59
Coq10b,1,55052770,55072702,+,19933,1664
Mob4,1,55131231,55154899,+,23669,1352
Mars2,1,55237177,55248470,+,11294,302
Plcl1,1,55405921,55754285,+,348365,2422
1700066M21Rik,1,57377620,57385423,+,7804,58
Maip1,1,57406328,57417953,+,11626,262
Spats2l,1,57774162,57948394,+,174233,67
Sgo2a,1,57995971,58025899,+,29929,56
Aox1,1,58029931,58106413,+,76483,20
Aox3,1,58113136,58200698,+,87563,33
Aox4,1,58210397,58268597,+,58201,22
Aox2,1,58278326,58380259,+,101934,70
Bzw1,1,58392898,58407353,+,14456,1930
Nif3l1,1,58445151,58481816,+,36666,403
Ndufb3,1,58586384,58595964,+,9581,47
Cflar,1,58711551,58758884,+,47334,2020
Casp8,1,58795374,58847503,+,52130,3458
Stradb,1,58973522,58995715,+,22194,57
Cdk15,1,59256906,59352993,+,96088,45
Fzd7,1,59482424,59486955,+,4532,7
Gm973,1,59516264,59636417,+,120154,48
Nop58,1,59684977,59719044,+,34068,2935
Bmpr2,1,59763400,59879014,+,115615,447
Fam117b,1,59913006,59985346,+,72341,6650
Carf,1,60098247,60153953,+,55707,322
Nbeal1,1,60180599,60338328,+,157730,1308
Cyp20a1,1,60343323,60388060,+,44738,246
Abi2,1,60409619,60481158,+,71540,335
Cd28,1,60746358,60773359,+,27002,5434
Ctla4,1,60909025,60915832,+,6808,557
Icos,1,60977927,61000320,+,22394,1123
Pard3b,1,61638824,62642284,+,1003461,410
Nrp2,1,62703285,62818695,+,115411,60
Eef1b2,1,63176825,63180486,+,3662,357
Zdbf2,1,63273265,63314576,+,41312,31
Adam23,1,63445895,63596276,+,150382,72
Gm39653,1,63615968,63620819,+,4852,2
Fastkd2,1,63730614,63754655,+,24042,412
Creb1,1,64532645,64604548,+,71904,3248
Ccnyl1,1,64690455,64725644,+,35190,528
Pikfyve,1,65186689,65278695,+,92007,1358
Pth2r,1,65282056,65389244,+,107189,48
Crygf,1,65926520,65928307,+,1788,0
Map2,1,66175273,66442583,+,267311,163
Unc80,1,66468367,66699148,+,230782,105
Rpe,1,66700831,66719805,+,18975,1195
Cps1,1,67123026,67231259,+,108234,56
Spag16,1,69826988,70725132,+,898145,352
Vwc2l,1,70725715,70885397,+,159683,61
Atic,1,71557150,71579631,+,22482,587
