#Coverage	Number of genomic locations
0.0	2.503572438E9
1.0	1.12857987E8
2.0	3.9545699E7
3.0	2.3560552E7
4.0	1.4815821E7
5.0	9515751.0
6.0	6265678.0
7.0	4230316.0
8.0	2913511.0
9.0	2046965.0
10.0	1462891.0
11.0	1065999.0
12.0	788229.0
13.0	594394.0
14.0	456013.0
15.0	353403.0
16.0	279945.0
17.0	223807.0
18.0	179674.0
19.0	144878.0
20.0	117672.0
21.0	95509.0
22.0	77654.0
23.0	63816.0
24.0	51393.0
25.0	41394.0
26.0	33564.0
27.0	27416.0
28.0	22600.0
29.0	18966.0
30.0	16002.0
31.0	13642.0
32.0	11681.0
33.0	10031.0
34.0	8501.0
35.0	7223.0
36.0	6327.0
37.0	5287.0
38.0	4593.0
39.0	3962.0
40.0	3434.0
41.0	2991.0
42.0	2408.0
43.0	1829.0
44.0	1516.0
45.0	1249.0
46.0	1097.0
47.0	872.0
48.0	787.0
49.0	604.0
50.0	532.0
51.0	440.0
52.0	354.0
53.0	374.0
54.0	375.0
55.0	350.0
56.0	337.0
57.0	307.0
58.0	318.0
59.0	319.0
60.0	297.0
61.0	272.0
62.0	223.0
63.0	216.0
64.0	197.0
65.0	169.0
66.0	179.0
67.0	169.0
68.0	143.0
69.0	100.0
70.0	91.0
71.0	89.0
72.0	76.0
73.0	140.0
74.0	155.0
75.0	166.0
76.0	228.0
77.0	368.0
78.0	625.0
79.0	817.0
80.0	899.0
81.0	305.0
82.0	62.0
83.0	6.0
