#Mapping quality	mapping quality
0.0	529399.0
1.0	1.5414714E7
2.0	121830.0
3.0	134687.0
4.0	68064.0
5.0	40479.0
6.0	406505.0
7.0	207657.0
8.0	185484.0
9.0	72098.0
10.0	82767.0
11.0	198497.0
12.0	409170.0
13.0	45190.0
14.0	122670.0
15.0	296159.0
16.0	224440.0
17.0	330824.0
18.0	326468.0
19.0	74928.0
20.0	123135.0
21.0	665117.0
22.0	190569.0
23.0	670093.0
24.0	1057245.0
25.0	280222.0
26.0	241677.0
27.0	241248.0
28.0	392252.0
29.0	292340.0
30.0	1933057.0
31.0	1764477.0
32.0	2107956.0
33.0	1281853.0
34.0	1832902.0
35.0	1547359.0
36.0	1802851.0
37.0	1765334.0
38.0	2306790.0
39.0	2076734.0
40.0	4404853.0
41.0	1.1236631E7
42.0	2.54770994E8
