#Duplication rate	Coverage
1.0	1.4721498E7
2.0	4291319.0
3.0	1325323.0
4.0	454612.0
5.0	180267.0
6.0	83114.0
7.0	44168.0
8.0	25598.0
9.0	16116.0
10.0	11053.0
11.0	7858.0
12.0	5687.0
13.0	4397.0
14.0	3271.0
15.0	2639.0
16.0	2231.0
17.0	1812.0
18.0	1485.0
19.0	1256.0
20.0	1080.0
21.0	906.0
22.0	767.0
23.0	716.0
24.0	654.0
25.0	592.0
26.0	555.0
27.0	480.0
28.0	463.0
29.0	409.0
30.0	373.0
31.0	316.0
32.0	324.0
33.0	276.0
34.0	283.0
35.0	256.0
36.0	243.0
37.0	227.0
38.0	199.0
39.0	210.0
40.0	195.0
41.0	187.0
42.0	178.0
43.0	179.0
44.0	160.0
45.0	175.0
46.0	156.0
47.0	134.0
48.0	145.0
49.0	131.0
50.0	10396.0
