#Duplication rate	Coverage
1.0	8613876.0
2.0	922703.0
3.0	120847.0
4.0	27296.0
5.0	10207.0
6.0	5291.0
7.0	3330.0
8.0	2248.0
9.0	1729.0
10.0	1336.0
11.0	1039.0
12.0	857.0
13.0	757.0
14.0	659.0
15.0	541.0
16.0	497.0
17.0	435.0
18.0	411.0
19.0	353.0
20.0	297.0
21.0	274.0
22.0	263.0
23.0	206.0
24.0	229.0
25.0	197.0
26.0	194.0
27.0	176.0
28.0	173.0
29.0	146.0
30.0	145.0
31.0	145.0
32.0	138.0
33.0	120.0
34.0	93.0
35.0	94.0
36.0	104.0
37.0	89.0
38.0	95.0
39.0	94.0
40.0	73.0
41.0	73.0
42.0	62.0
43.0	66.0
44.0	65.0
45.0	71.0
46.0	58.0
47.0	57.0
48.0	57.0
49.0	71.0
50.0	7933.0
